

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,qpSum,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V279182297,1776266814198.343,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0,0,8,0,0,8524,0,270,480,1,1,0,1,0,260,0.056943999999999995,1,0.011124,0.011124,1,1776266814174.033,0,0,0,0,172,279182298,0.056859,0.0053349999999999995,0,0,0,0.06257,0,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266814198.343,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0,0,8,0,0,8524,0,270,480,1,1,0,1,0,260,0.056943999999999995,1,0.011124,0.011124,1,1776266814174.033,0,0,0,0,172,279182298,0.056859,0.0053349999999999995,0,0,0,0.06257,0,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266814398.622,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.004,0,10,0,0,9852,0,270,480,2,2,0,2,0,324,0.060225999999999995,2,0.022248,0.022248,1,1776266814377.3591,0,0,0,0,378,279182298,0.056908999999999994,0.007704,0,0.203,0,0.068294,0.041209,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266814398.622,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.004,0,10,0,0,9852,0,270,480,2,2,0,2,0,324,0.060225999999999995,2,0.022248,0.022248,1,1776266814377.3591,0,0,0,0,378,279182298,0.056908999999999994,0.007704,0,0.203,0,0.068294,0.041209,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266814598.572,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.012,0,13,0,0,12520,0,270,480,3,4,0,4,0,420,0.154368,4,0.107792,0.107792,1,1776266814528.5361,0,0,0,0,794,279182298,0.056933,0.01243,0,0.39,0,0.167438,0.059238,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266814598.572,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.012,0,13,0,0,12520,0,270,480,3,4,0,4,0,420,0.154368,4,0.107792,0.107792,1,1776266814528.5361,0,0,0,0,794,279182298,0.056933,0.01243,0,0.39,0,0.167438,0.059238,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266814798.684,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.012,0,17,0,0,15385,0,270,480,5,6,0,6,0,548,0.171185,6,0.17823,0.17823,1,1776266814776.95,0,0,0,0,1203,279182298,0.05704,0.01729,0,0.599,0,0.189415,0.081259,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266814798.684,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.012,0,17,0,0,15385,0,270,480,5,6,0,6,0,548,0.171185,6,0.17823,0.17823,1,1776266814776.95,0,0,0,0,1203,279182298,0.05704,0.01729,0,0.599,0,0.189415,0.081259,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266814998.58,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.011,0,19,0,0,17023,0,270,480,6,7,0,7,0,612,0.17140999999999998,7,0.206565,0.206565,1,1776266814912.02,0,0,0,0,1407,279182298,0.057222999999999996,0.019694,0,0.735,0,0.19213,0.099755,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266814998.58,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.011,0,19,0,0,17023,0,270,480,6,7,0,7,0,612,0.17140999999999998,7,0.206565,0.206565,1,1776266814912.02,0,0,0,0,1407,279182298,0.057222999999999996,0.019694,0,0.735,0,0.19213,0.099755,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266815198.509,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.01,0,24,0,0,20930,0,270,480,8,9,1,9,0,772,0.171612,9,0.24695699999999998,0.24695699999999998,1,1776266815179.079,0,0,0,0,1817,279182298,0.057303,0.024735,0,1.002,0,0.19758399999999998,0.135404,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266815198.509,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.01,0,24,0,0,20930,0,270,480,8,9,1,9,0,772,0.171612,9,0.24695699999999998,0.24695699999999998,1,1776266815179.079,0,0,0,0,1817,279182298,0.057303,0.024735,0,1.002,0,0.19758399999999998,0.135404,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266815398.694,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.008,0,29,0,0,24330,0,270,480,9,13,1,13,0,932,0.17918599999999998,13,0.316921,0.316921,1,1776266815374.6602,0,0,0,0,2631,279182298,0.057361999999999996,0.032027,0,1.203,0,0.212881,0.147079,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266815398.694,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.008,0,29,0,0,24330,0,270,480,9,13,1,13,0,932,0.17918599999999998,13,0.316921,0.316921,1,1776266815374.6602,0,0,0,0,2631,279182298,0.057361999999999996,0.032027,0,1.203,0,0.212881,0.147079,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266815598.592,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.007,0,34,0,0,27490,0,270,480,11,16,1,16,0,1092,0.179424,16,0.359098,0.359098,1,1776266815576.816,0,0,0,0,3247,279182298,0.057441,0.038285,0,1.399,0,0.21965099999999999,0.15990499999999996,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266815598.592,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.007,0,34,0,0,27490,0,270,480,11,16,1,16,0,1092,0.179424,16,0.359098,0.359098,1,1776266815576.816,0,0,0,0,3247,279182298,0.057441,0.038285,0,1.399,0,0.21965099999999999,0.15990499999999996,cee4ef7d-c458-4c50-b4f4-fd4451779945
IT01V279182297,1776266815798.57,inbound-rtp,CIT01_105_profile-id=0,video,video,279182297,T01,0.007,0,37,0,0,29707,0,270,480,11,19,1,19,0,1188,0.17956899999999998,19,0.40581599999999995,0.40581599999999995,1,1776266815774.789,0,0,0,0,3863,279182298,0.057441,0.043214999999999996,0,1.597,0,0.225038,0.17309899999999995,cee4ef7d-c458-4c50-b4f4-fd4451779945
