

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V791250666,1776270955374.896,inbound-rtp,CIT01_105_profile-id=0,video,video,791250666,T01,0.007,0,31,0,0,25482,0,9,14,1,15,0,996,0.18318199999999998,15,0.335951,0.335951,1,1776270955374.769,0,0,0,0,791250667,0.057808,0.034447,0,1.16,0,0.219238,0.14001800000000003,f4ba7d55-f87b-496b-845b-355a9c0eb665,270
IT01V791250666,1776270955574.916,inbound-rtp,CIT01_105_profile-id=0,video,video,791250666,T01,0.006,0,37,0,0,28439,0,10,20,1,20,0,1188,0.18345599999999998,20,0.41414,0.41414,1,1776270955539.3691,0,0,0,0,791250667,0.057860999999999996,0.043448,0,1.36,0,0.229005,0.14677600000000005,f4ba7d55-f87b-496b-845b-355a9c0eb665,270
IT01V791250666,1776270955574.916,inbound-rtp,CIT01_105_profile-id=0,video,video,791250666,T01,0.006,0,37,0,0,28439,0,10,20,1,20,0,1188,0.18345599999999998,20,0.41414,0.41414,1,1776270955539.3691,0,0,0,0,791250667,0.057860999999999996,0.043448,0,1.36,0,0.229005,0.14677600000000005,f4ba7d55-f87b-496b-845b-355a9c0eb665,270
IT01V791250666,1776270955774.845,inbound-rtp,CIT01_105_profile-id=0,video,video,791250666,T01,0.005,0,45,0,0,32871,0,11,26,1,27,0,1444,0.18995499999999998,27,0.536026,0.536026,1,1776270955774.658,0,0,0,0,791250667,0.057908999999999995,0.052648,0,1.56,0,0.245165,0.15352200000000005,f4ba7d55-f87b-496b-845b-355a9c0eb665,270
IT01V791250666,1776270955774.845,inbound-rtp,CIT01_105_profile-id=0,video,video,791250666,T01,0.005,0,45,0,0,32871,0,11,26,1,27,0,1444,0.18995499999999998,27,0.536026,0.536026,1,1776270955774.658,0,0,0,0,791250667,0.057908999999999995,0.052648,0,1.56,0,0.245165,0.15352200000000005,f4ba7d55-f87b-496b-845b-355a9c0eb665,270
IT01V791250666,1776270955974.904,inbound-rtp,CIT01_105_profile-id=0,video,video,791250666,T01,0.004,0,50,0,0,36057,0,11,32,1,32,0,1604,0.198234,32,0.630784,0.630784,1,1776270955939.22,0,0,0,0,791250667,0.057908999999999995,0.062578,0,1.763,0,0.26412599999999997,0.16048500000000004,f4ba7d55-f87b-496b-845b-355a9c0eb665,270
IT01V791250666,1776270955974.904,inbound-rtp,CIT01_105_profile-id=0,video,video,791250666,T01,0.004,0,50,0,0,36057,0,11,32,1,32,0,1604,0.198234,32,0.630784,0.630784,1,1776270955939.22,0,0,0,0,791250667,0.057908999999999995,0.062578,0,1.763,0,0.26412599999999997,0.16048500000000004,f4ba7d55-f87b-496b-845b-355a9c0eb665,270
IT01V791250666,1776270956174.717,inbound-rtp,CIT01_105_profile-id=0,video,video,791250666,T01,0.004,0,57,0,0,40866,0,13,37,1,37,0,1828,0.19860999999999998,37,0.736834,0.736834,1,1776270956109.819,0,0,0,0,791250667,0.057987,0.071514,0,1.931,0,0.273984,0.16620700000000005,f4ba7d55-f87b-496b-845b-355a9c0eb665,270
IT01V791250666,1776270956174.717,inbound-rtp,CIT01_105_profile-id=0,video,video,791250666,T01,0.004,0,57,0,0,40866,0,13,37,1,37,0,1828,0.19860999999999998,37,0.736834,0.736834,1,1776270956109.819,0,0,0,0,791250667,0.057987,0.071514,0,1.931,0,0.273984,0.16620700000000005,f4ba7d55-f87b-496b-845b-355a9c0eb665,270
IT01V791250666,1776270956374.899,inbound-rtp,CIT01_105_profile-id=0,video,video,791250666,T01,0.007,0,60,0,0,44374,0,14,38,1,38,0,1928,0.251834,38,0.767188,0.767188,2,1776270956246.767,0,0,0,0,791250667,0.111165,0.07467599999999999,0,2.069,0,0.330491,0.18525100000000005,f4ba7d55-f87b-496b-845b-355a9c0eb665,180
