id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V3161106983,1776276395021.627,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,140144,415,true,0,0,146,146,66682,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.71,0,1.166132
OT01V886995852,1776276395021.627,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276395021.627,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276395021.627,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,140144,415,true,0,0,146,146,66682,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.71,0,1.166132
OT01V886995852,1776276395021.627,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276396021.645,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276396021.645,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,173420,518,true,0,0,176,176,84964,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.871,0,1.1663299999999999
OT01V886995852,1776276396021.645,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276396021.645,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276396021.645,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,173420,518,true,0,0,176,176,84964,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,0.871,0,1.1663299999999999
OT01V886995852,1776276396021.645,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276397021.737,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276397021.737,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,206164,640,true,0,0,206,206,108292,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,1.022,0,1.1998419999999999
OT01V886995852,1776276397021.737,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276397021.737,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276397021.737,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,206164,640,true,0,0,206,206,108292,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,1.022,0,1.1998419999999999
OT01V886995852,1776276397021.737,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276398021.684,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276398021.684,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,237909,780,true,0,0,236,236,137152,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,1.187,0,1.2001089999999999
OT01V886995852,1776276398021.684,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276398021.684,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276398021.684,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,237909,780,true,0,0,236,236,137152,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,1.187,0,1.2001089999999999
