,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
281,21598,522628,280,video_vp9,simulcast,0,1,28000.0,10475.7119140625,37.413256835937496,2924.2880859375,1.207888,0.276207,0.4123529999999999,12.351,26.096,40.917846,0,1.64059,178,105,178,4
281,27658,901649,281,video_vp9,simulcast,0,2,28000.0,17199.0,61.425,0.0,11.884759,0.5367649999999999,1.416899,0.0,27.996,1.2312879999999966,0,13.380281,762,1,764,0
281,22733,976734,282,video_vp9,simulcast,1,0,27999.0,4363.0,15.58269938212079,9636.0,5.870791,1.180784,0.928053,9.636,26.779,30.252095,0,6.844119999999999,406,42,408,4
281,25343,1212173,283,video_vp9,simulcast,1,1,28000.0,2266.02978515625,8.092963518415178,3933.97021484375,4.515389,1.13268,0.969983,10.371,26.359,30.500093,0,5.531753999999999,409,99,411,5
281,27113,1565255,284,video_vp9,simulcast,1,2,28000.0,0.0,0.0,0.0,11.123026,1.77645,1.342527,6.48,27.971,16.245175000000025,0,12.518156,486,159,489,5
281,26929,1459024,285,video_vp9,simulcast,2,0,28000.0,0.0,0.0,0.0,6.72898,1.569025,1.226634,7.589,28.06,22.48253999999999,0,8.009715,478,127,479,4
281,26852,1491181,286,video_vp9,simulcast,2,1,28000.0,0.0,0.0,0.0,6.105017,1.326755,1.18518,7.297,26.608,22.437643999999995,0,7.342354999999999,447,129,448,3
281,26821,1445580,287,video_vp9,simulcast,2,2,28000.0,0.0,0.0,0.0,8.447346,1.396607,1.121676,8.796,26.606,22.61004800000001,0,9.619158,443,132,443,6
281,14576,289263,288,video_av1,svc,0,0,28000.0,28000.0,100.0,0.0,4.010866,0.859517,0.198423,0.0,17.616,2.476474,0,4.231909,132,0,132,0
Unnamed 64,18250,370277,289,video_av1,svc,0,1,28000.0,25340.0,90.5,260.0,24.230219,1.092034,0.357575,0.26,17.776,1.4395699999999996,0,24.603573,252,1,253,1
281,27986,900021,29,video_vp9,simulcast,0,2,28000.0,15800.0,56.42857142857143,0.0,9.472822,0.328445,1.401721,0.0,28.025,1.2217869999999962,0,10.963618,762,0,762,0
281,20142,499538,290,video_av1,svc,0,2,28000.0,23598.804931640625,84.2814461844308,0.195068359375,23.868289,1.060433,0.6341249999999999,0.273,17.82,0.8869880000000003,0,24.56895,505,1,506,1
281,18318,666507,291,video_av1,svc,1,0,28000.0,12898.005859375,46.064306640625006,9701.994140625,2.336271,0.863985,0.181801,10.245,14.949,32.055294999999994,0,2.539046,131,92,168,5
281,20325,804318,292,video_av1,svc,1,1,28000.0,-38.637939453125,-0.13799264090401786,9438.637939453125,4.605554,1.012616,0.1751609999999999,13.394,17.902,41.733174,0,4.78009,121,242,183,6
281,20640,1026482,293,video_av1,svc,1,2,28000.0,0.0,0.0,0.0,8.557129,0.864289,0.167396,13.251,17.834,41.514134000000006,0,8.723365,123,443,210,6
281,20514,1023602,294,video_av1,svc,2,0,28000.0,0.0,0.0,0.0,5.552518,1.109489,0.1830449999999999,13.32,17.89,41.681944,0,5.733941,121,457,225,6
