

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,qpSum,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V192741118,1776343807148.749,inbound-rtp,CIT01_105_profile-id=0,video,video,192741118,T01,0.007,0,52,0,0,52257,0,540,960,9,9,0,9,0,1684,0.080105,9,0.17346499999999998,0.17346499999999998,4,1776343807079.528,0,0,0,0,1802,192741119,0.056853999999999995,0.014157999999999999,0,1.146,0,0.094778,0.195078,f7c3e796-91fd-4946-bed8-8265bd222564
IT01V192741118,1776343807348.665,inbound-rtp,CIT01_105_profile-id=0,video,video,192741118,T01,0.007,0,60,0,0,60615,0,540,960,10,10,0,10,0,1940,0.08014299999999999,10,0.187795,0.187795,4,1776343807206.422,0,0,0,0,2010,192741119,0.056878,0.016277,0,1.272,0,0.096993,0.210954,f7c3e796-91fd-4946-bed8-8265bd222564
IT01V192741118,1776343807348.665,inbound-rtp,CIT01_105_profile-id=0,video,video,192741118,T01,0.007,0,60,0,0,60615,0,540,960,10,10,0,10,0,1940,0.08014299999999999,10,0.187795,0.187795,4,1776343807206.422,0,0,0,0,2010,192741119,0.056878,0.016277,0,1.272,0,0.096993,0.210954,f7c3e796-91fd-4946-bed8-8265bd222564
IT01V192741118,1776343807548.781,inbound-rtp,CIT01_105_profile-id=0,video,video,192741118,T01,0.008,0,72,0,0,72183,0,540,960,12,12,0,12,0,2324,0.083243,12,0.21387099999999998,0.21387099999999998,4,1776343807479.8901,0,0,0,0,2426,192741119,0.056915999999999994,0.020255,0,1.545,0,0.104118,0.248363,f7c3e796-91fd-4946-bed8-8265bd222564
IT01V192741118,1776343807548.781,inbound-rtp,CIT01_105_profile-id=0,video,video,192741118,T01,0.008,0,72,0,0,72183,0,540,960,12,12,0,12,0,2324,0.083243,12,0.21387099999999998,0.21387099999999998,4,1776343807479.8901,0,0,0,0,2426,192741119,0.056915999999999994,0.020255,0,1.545,0,0.104118,0.248363,f7c3e796-91fd-4946-bed8-8265bd222564
IT01V192741118,1776343807748.695,inbound-rtp,CIT01_105_profile-id=0,video,video,192741118,T01,0.007,0,84,0,0,84392,0,540,960,13,13,0,14,0,2708,0.08664,14,0.235198,0.235198,4,1776343807747.916,0,0,0,0,2634,192741119,0.056939,0.021942,0,1.683,0,0.10586,0.267407,f7c3e796-91fd-4946-bed8-8265bd222564
IT01V192741118,1776343807748.695,inbound-rtp,CIT01_105_profile-id=0,video,video,192741118,T01,0.007,0,84,0,0,84392,0,540,960,13,13,0,14,0,2708,0.08664,14,0.235198,0.235198,4,1776343807747.916,0,0,0,0,2634,192741119,0.056939,0.021942,0,1.683,0,0.10586,0.267407,f7c3e796-91fd-4946-bed8-8265bd222564
IT01V192741118,1776343807948.66,inbound-rtp,CIT01_105_profile-id=0,video,video,192741118,T01,0.007,0,93,0,0,93037,0,540,960,15,15,0,15,0,2996,0.09020199999999999,15,0.244106,0.244106,4,1776343807881.58,0,0,0,0,3041,192741119,0.05697,0.025769,0,1.947,0,0.11670599999999999,0.30226300000000006,f7c3e796-91fd-4946-bed8-8265bd222564
IT01V192741118,1776343807948.66,inbound-rtp,CIT01_105_profile-id=0,video,video,192741118,T01,0.007,0,93,0,0,93037,0,540,960,15,15,0,15,0,2996,0.09020199999999999,15,0.244106,0.244106,4,1776343807881.58,0,0,0,0,3041,192741119,0.05697,0.025769,0,1.947,0,0.11670599999999999,0.30226300000000006,f7c3e796-91fd-4946-bed8-8265bd222564
IT01V192741118,1776343808148.607,inbound-rtp,CIT01_105_profile-id=0,video,video,192741118,T01,0.007,0,111,0,0,110776,0,540,960,17,17,0,17,0,3572,0.098428,17,0.260474,0.260474,4,1776343808143.725,0,0,0,0,3448,192741119,0.057005,0.030246,0,2.209,0,0.129504,0.3366030000000001,f7c3e796-91fd-4946-bed8-8265bd222564
