,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
281,18617,983598,295,video_av1,svc,2,1,28000.0,0.0,0.0,0.0,11.886807,0.912432,0.1005939999999999,11.444,15.259,35.034567,0,11.997908,101,347,183,6
281,20014,1029300,296,video_av1,svc,2,2,28000.0,0.0,0.0,0.0,7.353425,0.8399129999999999,0.137912,10.233,14.794,32.213488,0,7.486073999999999,120,321,221,5
281,16666,442647,297,video_av1,simulcast,0,0,28000.0,22200.0,79.28571428571428,0.0,1.474579,0.8377359999999999,0.2148729999999999,0.0,27.701,4.533098999999997,0,1.7056209999999998,181,0,181,0
Unnamed 46,24018,579586,298,video_av1,simulcast,0,1,28000.0,10200.0,36.42857142857142,0.0,7.121054999999999,0.802545,0.4008629999999999,0.0,27.75,2.413050000000001,0,7.56089,361,0,361,0
Unnamed 47,27413,850705,299,video_av1,simulcast,0,2,28000.0,6400.0,22.857142857142858,0.0,11.311415,1.061881,0.598518,0.0,27.695,1.3784829999999937,0,11.972749,712,0,712,0
281,18298,638646,3,video_av1,svc,1,0,28000.0,9871.5439453125,35.25551409040178,12728.4560546875,2.024645,0.755795,0.1206059999999999,13.268,17.846,41.19661599999999,0,2.157854,131,123,164,6
281,22530,981977,30,video_vp9,simulcast,1,0,27999.0,4429.926025390625,15.821729438160737,9370.073974609375,3.557064,0.935247,0.634161,11.267,26.579,33.947405,0,4.225556,361,89,363,4
Unnamed 48,23408,1076724,300,video_av1,simulcast,1,0,28000.0,12464.56201171875,44.51629289899554,1335.43798828125,9.352387,2.528605,0.5547759999999999,1.436,27.821,3.603560999999997,0,9.950132,442,0,442,3
281,26187,1327319,301,video_av1,simulcast,1,1,28000.0,8142.278076171875,29.079564557756697,457.721923828125,19.96556,2.597372,0.7156389999999999,0.458,27.983,2.059479000000004,0,20.733986,531,0,532,2
Unnamed 49,27650,1691970,302,video_av1,simulcast,1,2,28000.0,8554.0,30.55,246.0,31.502277,4.01236,0.77082,0.246,27.764,1.54472999999999,0,32.328751,679,0,680,1
Unnamed 50,28046,1729801,303,video_av1,simulcast,2,0,28000.0,0.0,0.0,0.0,30.434277,3.274837,0.837368,0.195,27.81,1.451353999999989,0,31.333899,705,0,706,1
Unnamed 51,27656,1625891,304,video_av1,simulcast,2,1,28000.0,0.0,0.0,0.0,28.422436,3.83515,0.764088,0.654,27.712,1.6486739999999944,0,29.246685,651,0,653,3
281,28285,1735865,305,video_av1,simulcast,2,2,28000.0,0.0,0.0,0.0,34.398401,4.101370999999999,0.8133509999999999,0.214,27.957,1.5661969999999916,0,35.274048,697,0,699,1
281,17333,285237,306,video_vp9,svc,0,0,28000.0,2000.0,7.142857142857142,0.0,9.924295,0.114149,0.2251739999999999,0.0,28.02,3.847729999999996,0,10.169907,212,0,212,0
281,26033,717133,307,video_vp9,svc,0,1,28000.0,28000.0,100.0,0.0,2.781512,0.059437,0.2340759999999999,0.0,27.979,2.118209,0,3.039842,411,1,411,0
281,26434,483728,308,video_vp9,svc,0,2,28000.0,800.0,2.857142857142857,0.0,15.834053,0.303325,0.383527,0.222,27.975,1.319386999999994,0,16.289898,809,9,817,1
281,19673,2229357,309,video_vp9,svc,1,0,28000.0,27200.0,97.14285714285714,0.0,1.523407,0.060162,0.577253,0.0,27.951,3.8438149999999975,0,2.112169,209,0,209,0
281,25568,1245379,31,video_vp9,simulcast,1,1,28000.0,3427.43310546875,12.24083251953125,1372.56689453125,4.45946,1.24869,0.897318,7.769,26.956,21.48347600000001,0,5.398788,440,80,441,6
281,26115,996985,310,video_vp9,svc,1,1,28000.0,0.0,0.0,0.0,17.213563999999998,0.439023,0.676924,11.354,27.974,34.27272999999995,0,17.919964,271,290,391,5
281,28473,1410534,311,video_vp9,svc,1,2,28000.0,0.0,0.0,0.0,16.743555999999998,0.208202,0.853487,10.801,28.002,32.34270600000003,0,17.642151,476,558,698,4
281,27725,1843077,312,video_vp9,svc,2,0,28000.0,0.0,0.0,0.0,10.381795,0.4702579999999999,0.674392,16.605,27.647,39.38424100000007,0,10.701098,244,433,458,10
281,33910,6321035,313,video_vp9,svc,2,1,28000.0,209.677001953125,0.748846435546875,8390.322998046875,1.404285,0.057752,0.259578,14.792,26.064,52.385308,0,1.4052,52,850,275,6
281,30934,2478025,314,video_vp9,svc,2,2,28000.0,0.0,0.0,0.0,10.816946,0.1109359999999999,0.2200899999999999,15.426,27.33,38.52703000000008,0,10.822732,256,598,624,10
281,15669,395228,315,video_vp9,simulcast,0,0,28000.0,11972.27001953125,42.758107212611606,9027.72998046875,0.51894,0.274922,0.1735749999999999,14.234,26.109,43.107813,0,0.700982,95,62,95,5
281,22849,561767,316,video_vp9,simulcast,0,1,28000.0,10301.071044921875,36.789539446149554,2898.928955078125,1.45152,0.22638,0.370809,12.27,26.09,39.21702200000001,0,1.842841,185,136,185,4
