

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,qpSum,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V374917333,1776337543280.687,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.005,0,24,0,0,23382,0,270,480,5,5,1,1,5,0,780,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337543236.985,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337543280.687,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.005,0,24,0,0,23382,0,270,480,5,5,1,1,5,0,780,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337543236.985,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337543480.713,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.005,0,24,0,0,23382,0,270,480,5,5,1,1,5,0,780,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337543236.985,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337543480.713,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.005,0,24,0,0,23382,0,270,480,5,5,1,1,5,0,780,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337543236.985,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337543680.754,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.005,0,27,0,0,26048,0,270,480,5,5,1,1,5,0,876,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337543630.561,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337543680.754,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.005,0,27,0,0,26048,0,270,480,5,5,1,1,5,0,876,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337543630.561,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337543880.666,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.006,0,28,0,0,27185,0,270,480,5,5,1,,5,0,908,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337543778.264,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337543880.666,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.006,0,28,0,0,27185,0,270,480,5,5,1,,5,0,908,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337543778.264,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337544080.689,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,31,0,0,29887,0,270,480,5,5,1,,5,0,1004,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544058.435,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337544080.689,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,31,0,0,29887,0,270,480,5,5,1,,5,0,1004,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544058.435,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
