id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V2179005858,1776342910742.813,outbound-rtp,COT01_98_profile-id=0,video,video,2179005858,T01,150493,385,true,0,0,146,146,57045,1,1,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r0,3842641172,2.768,0,1.8914039999999999
OT01V2838226439,1776342910742.813,outbound-rtp,COT01_98_profile-id=0,video,video,2838226439,T01,0,0,true,1,0,0,0,0,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r1,263582407,0,0,0
OT01V146102413,1776342910742.813,outbound-rtp,COT01_98_profile-id=0,video,video,146102413,T01,0,1,true,2,0,0,0,283,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4071796655,0,0,0
OT01V2179005858,1776342910742.813,outbound-rtp,COT01_98_profile-id=0,video,video,2179005858,T01,150493,385,true,0,0,146,146,57045,1,1,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r0,3842641172,2.768,0,1.8914039999999999
OT01V2838226439,1776342910742.813,outbound-rtp,COT01_98_profile-id=0,video,video,2838226439,T01,0,0,true,1,0,0,0,0,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r1,263582407,0,0,0
OT01V146102413,1776342911742.665,outbound-rtp,COT01_98_profile-id=0,video,video,146102413,T01,0,1,true,2,0,0,0,283,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4071796655,0,0,0
OT01V2179005858,1776342911742.665,outbound-rtp,COT01_98_profile-id=0,video,video,2179005858,T01,182986,494,true,0,0,176,176,77001,1,1,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r0,3842641172,3.313,0,1.931025
OT01V2838226439,1776342911742.665,outbound-rtp,COT01_98_profile-id=0,video,video,2838226439,T01,0,0,true,1,0,0,0,0,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r1,263582407,0,0,0
OT01V146102413,1776342911742.665,outbound-rtp,COT01_98_profile-id=0,video,video,146102413,T01,0,1,true,2,0,0,0,283,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r2,4071796655,0,0,0
OT01V2179005858,1776342911742.665,outbound-rtp,COT01_98_profile-id=0,video,video,2179005858,T01,182986,494,true,0,0,176,176,77001,1,1,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r0,3842641172,3.313,0,1.931025
OT01V2838226439,1776342911742.665,outbound-rtp,COT01_98_profile-id=0,video,video,2838226439,T01,0,0,true,1,0,0,0,0,0,0,SV321,0,0,0,0,[object Object],bandwidth,0,0,0,r1,263582407,0,0,0
