id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesPerSecond,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,remoteId,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,scalabilityMode,targetBitrate,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V3097822197,1776338949742.711,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338949742.711,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338950742.776,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,149224,390,true,0,0,270,480,146,31,146,56918,1,1,SV211,0,0,0,0,28426,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,257000,2.665,0,3.281021
OT01V3097822197,1776338950742.776,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338950742.776,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338950742.776,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,149224,390,true,0,0,270,480,146,31,146,56918,1,1,SV211,0,0,0,0,28426,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,257000,2.665,0,3.281021
OT01V3097822197,1776338950742.776,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338950742.776,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338951742.913,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,182133,497,true,0,0,270,480,176,31,176,76316,1,1,SV211,0,0,0,0,34102,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,251710,3.199,0,3.281211
OT01V3097822197,1776338951742.913,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338951742.913,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338951742.913,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,182133,497,true,0,0,270,480,176,31,176,76316,1,1,SV211,0,0,0,0,34102,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,251710,3.199,0,3.281211
OT01V3097822197,1776338951742.913,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338951742.913,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338952742.925,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,214655,622,true,0,0,270,480,206,31,206,100226,1,1,SV211,0,0,0,0,39838,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,245368,3.76,0,3.301186
OT01V3097822197,1776338952742.925,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338952742.925,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338952742.925,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,214655,622,true,0,0,270,480,206,31,206,100226,1,1,SV211,0,0,0,0,39838,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,245368,3.76,0,3.301186
OT01V3097822197,1776338952742.925,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338952742.925,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338953742.75,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,246505,764,true,0,0,270,480,236,31,236,128624,1,1,SV211,0,0,0,0,45564,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,257000,4.291,0,3.3014639999999997
OT01V3097822197,1776338953742.75,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338953742.75,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338953742.75,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,246505,764,true,0,0,270,480,236,31,236,128624,1,1,SV211,0,0,0,0,45564,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,257000,4.291,0,3.3014639999999997
OT01V3097822197,1776338953742.75,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338953742.75,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338954742.91,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,284946,904,true,0,0,270,480,266,30,266,155444,1,1,SV211,0,0,0,0,51354,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,257000,4.866,0,3.3016829999999997
OT01V3097822197,1776338954742.91,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338954742.91,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338954742.91,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,284946,904,true,0,0,270,480,266,30,266,155444,1,1,SV211,0,0,0,0,51354,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,257000,4.866,0,3.3016829999999997
OT01V3097822197,1776338954742.91,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338954742.91,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338955742.925,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,355906,983,true,0,0,270,480,296,31,296,157340,1,1,SV211,0,0,0,0,57111,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,253300,5.461,0,3.301733
OT01V3097822197,1776338955742.925,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338955742.925,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338955742.925,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,355906,983,true,0,0,270,480,296,31,296,157340,1,1,SV211,0,0,0,0,57111,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,253300,5.461,0,3.301733
OT01V3097822197,1776338955742.925,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338955742.925,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338956742.704,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,432767,1069,true,0,0,270,480,326,31,326,159404,1,1,SV211,0,0,0,0,62865,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,254071,6.091,0,3.3017849999999997
OT01V3097822197,1776338956742.704,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338956742.704,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338956742.704,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,432767,1069,true,0,0,270,480,326,31,326,159404,1,1,SV211,0,0,0,0,62865,[object Object],bandwidth,0,RIV1097486234,0,0,r0,2490342818,L1T3,254071,6.091,0,3.3017849999999997
OT01V3097822197,1776338956742.704,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,0,0,true,1,0,,,0,,0,0,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r1,52116358,,,0,0,0
OT01V4110492125,1776338956742.704,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,0,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338957742.636,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,510283,1153,true,0,0,270,480,356,31,356,161424,1,2,SV211,0,0,0,0,68658,[object Object],bandwidth,1,RIV1097486234,0,0,r0,2490342818,L1T3,214166,6.634,0,3.4325219999999996
OT01V3097822197,1776338957742.636,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,6436,6,true,1,0,540,960,6,44,6,168,1,1,SV211,0,0,0,0,1248,[object Object],bandwidth,1,,0,0,r1,52116358,L1T3,349167,0.134,0,0.22195499999999999
OT01V4110492125,1776338957742.636,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,1,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338957742.636,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,510283,1153,true,0,0,270,480,356,31,356,161424,1,2,SV211,0,0,0,0,68658,[object Object],bandwidth,1,RIV1097486234,0,0,r0,2490342818,L1T3,214166,6.634,0,3.4325219999999996
OT01V3097822197,1776338957742.636,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,6436,6,true,1,0,540,960,6,44,6,168,1,1,SV211,0,0,0,0,1248,[object Object],bandwidth,1,,0,0,r1,52116358,L1T3,349167,0.134,0,0.22195499999999999
OT01V4110492125,1776338957742.636,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,1,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338958742.716,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,538494,1187,true,0,0,270,480,376,21,376,162240,1,2,SV211,0,0,0,0,72796,[object Object],bandwidth,1,RIV1097486234,0,0,r0,2490342818,L1T3,204624,7.032,0,4.325133
OT01V3097822197,1776338958742.716,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,76970,76,true,1,0,540,960,19,14,19,2120,2,1,SV211,0,0,0,0,3952,[object Object],bandwidth,1,RIV3097822197,0,0,r1,52116358,L1T3,337000,0.448,0,16.965512
OT01V4110492125,1776338958742.716,outbound-rtp,COT01_98_profile-id=0,video,video,4110492125,T01,0,1,true,2,0,,,0,,0,283,0,0,SV211,0,0,0,0,,[object Object],bandwidth,1,,0,0,r2,3648657132,,,0,0,0
OT01V1097486234,1776338958742.716,outbound-rtp,COT01_98_profile-id=0,video,video,1097486234,T01,538494,1187,true,0,0,270,480,376,21,376,162240,1,2,SV211,0,0,0,0,72796,[object Object],bandwidth,1,RIV1097486234,0,0,r0,2490342818,L1T3,204624,7.032,0,4.325133
OT01V3097822197,1776338958742.716,outbound-rtp,COT01_98_profile-id=0,video,video,3097822197,T01,76970,76,true,1,0,540,960,19,14,19,2120,2,1,SV211,0,0,0,0,3952,[object Object],bandwidth,1,RIV3097822197,0,0,r1,52116358,L1T3,337000,0.448,0,16.965512
