

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,qpSum,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V656143631,1776337723121.492,inbound-rtp,CIT01_105_profile-id=0,video,video,656143631,T01,0.009,0,27,0,0,22487,0,270,480,9,14,0,14,0,868,0.273264,14,0.567681,0.567681,1,1776337723080.4312,0,0,0,0,2860,0.08809199999999999,0.024904,0,1.196,0,0.299539,0.15194,685f19f1-da50-4a3a-8a2e-4fe2cb4a5e34
IT01V656143631,1776337723321.487,inbound-rtp,CIT01_105_profile-id=0,video,video,656143631,T01,0.009,0,36,0,0,27889,0,270,480,10,21,0,21,0,1156,0.30614199999999997,21,0.729046,0.729046,1,1776337723310.248,0,0,0,0,4292,0.08814699999999999,0.034053,0,1.418,0,0.342215,0.15977599999999997,685f19f1-da50-4a3a-8a2e-4fe2cb4a5e34
IT01V656143631,1776337723321.487,inbound-rtp,CIT01_105_profile-id=0,video,video,656143631,T01,0.009,0,36,0,0,27889,0,270,480,10,21,0,21,0,1156,0.30614199999999997,21,0.729046,0.729046,1,1776337723310.248,0,0,0,0,4292,0.08814699999999999,0.034053,0,1.418,0,0.342215,0.15977599999999997,685f19f1-da50-4a3a-8a2e-4fe2cb4a5e34
IT01V656143631,1776337723521.584,inbound-rtp,CIT01_105_profile-id=0,video,video,656143631,T01,0.007,0,41,0,0,31716,0,270,480,10,26,0,26,0,1316,0.324025,26,0.810168,0.810168,1,1776337723508.9211,0,0,0,0,5286,0.08814699999999999,0.040819,0,1.618,0,0.367338,0.16810399999999998,685f19f1-da50-4a3a-8a2e-4fe2cb4a5e34
IT01V656143631,1776337723521.584,inbound-rtp,CIT01_105_profile-id=0,video,video,656143631,T01,0.007,0,41,0,0,31716,0,270,480,10,26,0,26,0,1316,0.324025,26,0.810168,0.810168,1,1776337723508.9211,0,0,0,0,5286,0.08814699999999999,0.040819,0,1.618,0,0.367338,0.16810399999999998,685f19f1-da50-4a3a-8a2e-4fe2cb4a5e34
IT01V656143631,1776337723721.499,inbound-rtp,CIT01_105_profile-id=0,video,video,656143631,T01,0.006,0,47,0,0,35600,0,270,480,10,32,0,32,0,1508,0.324231,32,0.894015,0.894015,1,1776337723701.868,0,0,0,0,6504,0.08814699999999999,0.047165,0,1.809,0,0.37431699999999996,0.174407,685f19f1-da50-4a3a-8a2e-4fe2cb4a5e34
IT01V656143631,1776337723721.499,inbound-rtp,CIT01_105_profile-id=0,video,video,656143631,T01,0.006,0,47,0,0,35600,0,270,480,10,32,0,32,0,1508,0.324231,32,0.894015,0.894015,1,1776337723701.868,0,0,0,0,6504,0.08814699999999999,0.047165,0,1.809,0,0.37431699999999996,0.174407,685f19f1-da50-4a3a-8a2e-4fe2cb4a5e34
IT01V656143631,1776337723921.584,inbound-rtp,CIT01_105_profile-id=0,video,video,656143631,T01,0.005,0,54,0,0,40236,0,270,480,11,38,0,38,0,1732,0.32583599999999996,38,0.98396,0.98396,1,1776337723909.2761,0,0,0,0,7706,0.088199,0.05491,0,2.018,0,0.38426299999999997,0.181842,685f19f1-da50-4a3a-8a2e-4fe2cb4a5e34
IT01V656143631,1776337723921.584,inbound-rtp,CIT01_105_profile-id=0,video,video,656143631,T01,0.005,0,54,0,0,40236,0,270,480,11,38,0,38,0,1732,0.32583599999999996,38,0.98396,0.98396,1,1776337723909.2761,0,0,0,0,7706,0.088199,0.05491,0,2.018,0,0.38426299999999997,0.181842,685f19f1-da50-4a3a-8a2e-4fe2cb4a5e34
IT01V656143631,1776337724121.504,inbound-rtp,CIT01_105_profile-id=0,video,video,656143631,T01,0.005,0,62,0,0,45386,0,270,480,13,44,0,44,0,1988,0.334683,44,1.081367,1.081367,1,1776337724106.829,0,0,0,0,8912,0.088283,0.06312,0,2.215,0,0.401924,0.188343,685f19f1-da50-4a3a-8a2e-4fe2cb4a5e34
