

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V694175914,1776595265742.004,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.01,0,66,0,0,66766,0,540,960,10,13,0,13,0,2128,0.09242099999999999,13,0.155018,0.155018,3,1776595265713.625,0,0,0,0,694175915,0.059239,0.159576,0,1.257,0,0.254399,0.20492499999999997,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595265942.088,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.01,0,78,0,0,77989,0,540,960,11,16,0,16,0,2512,0.11178099999999999,16,0.220391,0.220391,3,1776595265909.43,0,0,0,0,694175915,0.05928,0.193929,0,1.452,0,0.308749,0.21761399999999995,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595265942.088,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.01,0,78,0,0,77989,0,540,960,11,16,0,16,0,2512,0.11178099999999999,16,0.220391,0.220391,3,1776595265909.43,0,0,0,0,694175915,0.05928,0.193929,0,1.452,0,0.308749,0.21761399999999995,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595266141.828,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,94,0,0,94138,0,540,960,12,19,0,19,0,3024,0.133387,19,0.26514499999999996,0.26514499999999996,3,1776595266108.169,0,0,0,0,694175915,0.059315,0.23340699999999998,0,1.653,0,0.370625,0.23124299999999995,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595266141.828,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,94,0,0,94138,0,540,960,12,19,0,19,0,3024,0.133387,19,0.26514499999999996,0.26514499999999996,3,1776595266108.169,0,0,0,0,694175915,0.059315,0.23340699999999998,0,1.653,0,0.370625,0.23124299999999995,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595266342.593,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.01,0,107,0,0,105958,0,540,960,13,22,0,22,0,3440,0.143723,22,0.312198,0.312198,3,1776595266290.126,0,0,0,0,694175915,0.059983999999999996,0.263749,0,1.83,0,0.41182799999999997,0.24310399999999993,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595266342.593,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.01,0,107,0,0,105958,0,540,960,13,22,0,22,0,3440,0.143723,22,0.312198,0.312198,3,1776595266290.126,0,0,0,0,694175915,0.059983999999999996,0.263749,0,1.83,0,0.41182799999999997,0.24310399999999993,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595266542.494,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,130,0,0,128460,0,540,960,15,25,0,25,0,4176,0.155989,25,0.377142,0.377142,3,1776595266507.7761,0,0,0,0,694175915,0.060228,0.30358599999999997,0,2.056,0,0.464391,0.26093199999999994,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595266542.494,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,130,0,0,128460,0,540,960,15,25,0,25,0,4176,0.155989,25,0.377142,0.377142,3,1776595266507.7761,0,0,0,0,694175915,0.060228,0.30358599999999997,0,2.056,0,0.464391,0.26093199999999994,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595266742.065,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.008,0,145,0,0,142777,0,540,960,17,28,0,28,0,4656,0.17502399999999999,28,0.43202199999999996,0.43202199999999996,3,1776595266706.003,0,0,0,0,694175915,0.060804,0.338985,0,2.256,0,0.519782,0.2743379999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595266742.065,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.008,0,145,0,0,142777,0,540,960,17,28,0,28,0,4656,0.17502399999999999,28,0.43202199999999996,0.43202199999999996,3,1776595266706.003,0,0,0,0,694175915,0.060804,0.338985,0,2.256,0,0.519782,0.2743379999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595266941.884,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.007,0,169,0,0,167005,0,540,960,19,31,0,31,0,5424,0.205064,31,0.484278,0.484278,3,1776595266902.176,0,0,0,0,694175915,0.062123,0.381082,0,2.452,0,0.5925,0.2871679999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595266941.884,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.007,0,169,0,0,167005,0,540,960,19,31,0,31,0,5424,0.205064,31,0.484278,0.484278,3,1776595266902.176,0,0,0,0,694175915,0.062123,0.381082,0,2.452,0,0.5925,0.2871679999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595267141.992,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,180,0,0,175547,0,540,960,20,34,0,34,0,5776,0.23096599999999998,34,0.542242,0.542242,3,1776595267092.686,0,0,0,0,694175915,0.06216,0.40889899999999996,0,2.645,0,0.647095,0.30047699999999994,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595267141.992,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,180,0,0,175547,0,540,960,20,34,0,34,0,5776,0.23096599999999998,34,0.542242,0.542242,3,1776595267092.686,0,0,0,0,694175915,0.06216,0.40889899999999996,0,2.645,0,0.647095,0.30047699999999994,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595267342.384,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,210,0,0,207783,0,540,960,23,37,0,37,0,6736,0.25324399999999997,37,0.607387,0.607387,3,1776595267300.069,0,0,0,0,694175915,0.062277,0.45357899999999995,0,2.859,0,0.7146199999999999,0.315905,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595267342.384,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,210,0,0,207783,0,540,960,23,37,0,37,0,6736,0.25324399999999997,37,0.607387,0.607387,3,1776595267300.069,0,0,0,0,694175915,0.062277,0.45357899999999995,0,2.859,0,0.7146199999999999,0.315905,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595267542.386,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,221,0,0,216641,0,540,960,24,40,0,40,0,7088,0.284785,40,0.6697989999999999,0.6697989999999999,3,1776595267506.759,0,0,0,0,694175915,0.062311,0.48406899999999997,0,3.052,0,0.777257,0.328354,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595267542.386,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,221,0,0,216641,0,540,960,24,40,0,40,0,7088,0.284785,40,0.6697989999999999,0.6697989999999999,3,1776595267506.759,0,0,0,0,694175915,0.062311,0.48406899999999997,0,3.052,0,0.777257,0.328354,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595267741.764,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,252,0,0,249386,0,540,960,27,43,0,43,0,8080,0.322994,43,0.735078,0.735078,3,1776595267707.927,0,0,0,0,694175915,0.06326899999999999,0.532144,0,3.268,0,0.8644609999999999,0.3442719999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595267741.764,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,252,0,0,249386,0,540,960,27,43,0,43,0,8080,0.322994,43,0.735078,0.735078,3,1776595267707.927,0,0,0,0,694175915,0.06326899999999999,0.532144,0,3.268,0,0.8644609999999999,0.3442719999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
