

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V532858745,1776600250037.883,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.013,0,22,0,0,19755,0,10,10,0,10,0,708,0.213414,10,0.23046699999999998,0.23046699999999998,1,1776600249981.845,0,0,0,0,0.16423,0.169075,0,1.111,0,0.387132,0.142263,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600250237.541,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.013,0,24,0,0,21207,0,11,11,0,11,0,772,0.21365699999999999,11,0.249772,0.249772,1,1776600250126.653,0,0,0,0,0.164272,0.175479,0,1.254,0,0.393914,0.162712,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600250237.541,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.013,0,24,0,0,21207,0,11,11,0,11,0,772,0.21365699999999999,11,0.249772,0.249772,1,1776600250126.653,0,0,0,0,0.164272,0.175479,0,1.254,0,0.393914,0.162712,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600250438.155,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.012,0,26,0,0,23370,0,11,13,0,13,0,836,0.21428699999999998,13,0.28079699999999996,0.28079699999999996,1,1776600250384.241,0,0,0,0,0.164272,0.189596,0,1.51,0,0.40901899999999997,0.195498,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600250438.155,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.012,0,26,0,0,23370,0,11,13,0,13,0,836,0.21428699999999998,13,0.28079699999999996,0.28079699999999996,1,1776600250384.241,0,0,0,0,0.164272,0.189596,0,1.51,0,0.40901899999999997,0.195498,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600250637.524,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.011,0,27,0,0,24366,0,11,14,0,14,0,868,0.21436999999999998,14,0.29302,0.29302,1,1776600250516.353,0,0,0,0,0.164272,0.195632,0,1.642,0,0.41529,0.212922,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600250637.524,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.011,0,27,0,0,24366,0,11,14,0,14,0,868,0.21436999999999998,14,0.29302,0.29302,1,1776600250516.353,0,0,0,0,0.164272,0.195632,0,1.642,0,0.41529,0.212922,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600250837.65,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.01,0,30,0,0,26330,0,12,16,0,16,0,964,0.214525,16,0.312141,0.312141,1,1776600250780.43,0,0,0,0,0.16431099999999998,0.208704,0,1.906,0,0.42878499999999997,0.24778799999999998,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600250837.65,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.01,0,30,0,0,26330,0,12,16,0,16,0,964,0.214525,16,0.312141,0.312141,1,1776600250780.43,0,0,0,0,0.16431099999999998,0.208704,0,1.906,0,0.42878499999999997,0.24778799999999998,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
IT01V532858745,1776600251037.543,inbound-rtp,CIT01_105_profile-id=0,video,video,532858745,T01,0.01,0,33,0,0,28691,0,13,17,0,17,0,1060,0.21466,17,0.319498,0.319498,1,1776600250912.86,0,0,0,0,0.164373,0.216274,0,2.04,0,0.436631,0.265744,d65e65b9-b1ad-4750-8ca4-640e5c26d2d0,270
