

id,timestamp,type,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V869585292,1776596602483.969,inbound-rtp,video,video,869585292,T01,0,0,3,0,0,3126,0,0,0,0,0,0,96,0,0,0,0,0,1776596602442.875,0,0,0,0,869585293,0,0,0,0,0,0,0,076909b6-ccd1-495b-b802-557252261388,1
IT01V869585292,1776596602483.969,inbound-rtp,video,video,869585292,T01,0,0,3,0,0,3126,0,0,0,0,0,0,96,0,0,0,0,0,1776596602442.875,0,0,0,0,869585293,0,0,0,0,0,0,0,076909b6-ccd1-495b-b802-557252261388,1
IT01V869585292,1776596602683.354,inbound-rtp,video,video,869585292,T01,0.002,0,7,0,0,6980,0,2,2,0,2,0,228,0.120236,2,0.022144999999999998,0.022144999999999998,1,1776596602593.804,0,0,0,0,869585293,0.108655,0.071564,0,0.052,0,0.19628299999999999,0.002704,076909b6-ccd1-495b-b802-557252261388,270
IT01V869585292,1776596602683.354,inbound-rtp,video,video,869585292,T01,0.002,0,7,0,0,6980,0,2,2,0,2,0,228,0.120236,2,0.022144999999999998,0.022144999999999998,1,1776596602593.804,0,0,0,0,869585293,0.108655,0.071564,0,0.052,0,0.19628299999999999,0.002704,076909b6-ccd1-495b-b802-557252261388,270
IT01V869585292,1776596602882.947,inbound-rtp,video,video,869585292,T01,0.012,0,11,0,0,10675,0,4,4,0,4,0,356,0.183659,4,0.048916999999999995,0.048916999999999995,1,1776596602800.436,0,0,0,0,869585293,0.161522,0.090699,0,0.248,0,0.279356,0.02193,076909b6-ccd1-495b-b802-557252261388,270
IT01V869585292,1776596602882.947,inbound-rtp,video,video,869585292,T01,0.012,0,11,0,0,10675,0,4,4,0,4,0,356,0.183659,4,0.048916999999999995,0.048916999999999995,1,1776596602800.436,0,0,0,0,869585293,0.161522,0.090699,0,0.248,0,0.279356,0.02193,076909b6-ccd1-495b-b802-557252261388,270
IT01V869585292,1776596603082.889,inbound-rtp,video,video,869585292,T01,0.015,0,15,0,0,13576,0,6,6,0,6,0,484,0.18629199999999999,6,0.08095,0.08095,1,1776596603021.573,0,0,0,0,869585293,0.161553,0.096164,0,0.463,0,0.287532,0.045355000000000006,076909b6-ccd1-495b-b802-557252261388,270
IT01V869585292,1776596603082.889,inbound-rtp,video,video,869585292,T01,0.015,0,15,0,0,13576,0,6,6,0,6,0,484,0.18629199999999999,6,0.08095,0.08095,1,1776596603021.573,0,0,0,0,869585293,0.161553,0.096164,0,0.463,0,0.287532,0.045355000000000006,076909b6-ccd1-495b-b802-557252261388,270
IT01V869585292,1776596603282.916,inbound-rtp,video,video,869585292,T01,0.014,0,18,0,0,15985,0,7,7,0,7,0,580,0.186333,7,0.10331399999999999,0.10331399999999999,1,1776596603261.396,0,0,0,0,869585293,0.161567,0.098658,0,0.605,0,0.290104,0.06551900000000001,076909b6-ccd1-495b-b802-557252261388,270
IT01V869585292,1776596603282.916,inbound-rtp,video,video,869585292,T01,0.014,0,18,0,0,15985,0,7,7,0,7,0,580,0.186333,7,0.10331399999999999,0.10331399999999999,1,1776596603261.396,0,0,0,0,869585293,0.161567,0.098658,0,0.605,0,0.290104,0.06551900000000001,076909b6-ccd1-495b-b802-557252261388,270
