id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesPerSecond,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rtxSsrc,scalabilityMode,targetBitrate,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V764202288,1776599982473.771,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,738995,720,true,0,0,1080,1920,166,12,166,19407,10,7,SV164,0,0,0,1,33376,[object Object],none,1,0,0,3545581341,S3T3,257000,3.765,0,9.798912
OT01V764202288,1776599982473.771,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,738995,720,true,0,0,1080,1920,166,12,166,19407,10,7,SV164,0,0,0,1,33376,[object Object],none,1,0,0,3545581341,S3T3,257000,3.765,0,9.798912
OT01V764202288,1776599982673.787,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,793422,774,true,0,0,1080,1920,181,12,181,20703,10,7,SV164,0,0,0,1,36243,[object Object],none,1,0,0,3545581341,S3T3,257000,4.087,0,9.798961
OT01V764202288,1776599982673.787,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,793422,774,true,0,0,1080,1920,181,12,181,20703,10,7,SV164,0,0,0,1,36243,[object Object],none,1,0,0,3545581341,S3T3,257000,4.087,0,9.798961
OT01V764202288,1776599982873.714,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,857985,839,true,0,0,1080,1920,199,14,199,22263,10,7,SV164,0,0,0,1,39721,[object Object],none,1,0,0,3545581341,S3T3,257000,4.496,0,9.799002
OT01V764202288,1776599982873.714,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,857985,839,true,0,0,1080,1920,199,14,199,22263,10,7,SV164,0,0,0,1,39721,[object Object],none,1,0,0,3545581341,S3T3,257000,4.496,0,9.799002
OT01V764202288,1776599983073.708,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,916629,897,true,0,0,1080,1920,213,15,213,23655,10,7,SV164,0,0,0,1,42360,[object Object],none,1,0,0,3545581341,S3T3,257000,4.82,0,9.799056
OT01V764202288,1776599983073.708,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,916629,897,true,0,0,1080,1920,213,15,213,23655,10,7,SV164,0,0,0,1,42360,[object Object],none,1,0,0,3545581341,S3T3,257000,4.82,0,9.799056
OT01V764202288,1776599983273.806,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,980643,961,true,0,0,1080,1920,227,15,227,25191,10,7,SV164,0,0,0,1,45006,[object Object],none,1,0,0,3545581341,S3T3,257000,5.117,0,9.799145
OT01V764202288,1776599983273.806,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,980643,961,true,0,0,1080,1920,227,15,227,25191,10,7,SV164,0,0,0,1,45006,[object Object],none,1,0,0,3545581341,S3T3,257000,5.117,0,9.799145
OT01V764202288,1776599983473.734,outbound-rtp,COT01_98_profile-id=0,video,video,764202288,T01,1035326,1014,true,0,0,1080,1920,243,16,243,26463,10,7,SV164,0,0,0,1,48060,[object Object],none,1,0,0,3545581341,S3T3,257000,5.509,0,9.799188
