id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,scalabilityMode,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V4021281234,1776600282096.429,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282096.429,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282096.429,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,30629,41,true,0,0,270,480,22,22,1626,1,2,SV173,0,0,0,1,4434,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.379,0,3.532075
OT01V4021281234,1776600282096.429,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282296.41,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282296.41,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,35698,51,true,0,0,270,480,28,28,2376,1,2,SV173,0,0,0,1,5650,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.481,0,3.532085
OT01V4021281234,1776600282296.41,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282296.41,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282296.41,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,35698,51,true,0,0,270,480,28,28,2376,1,2,SV173,0,0,0,1,5650,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.481,0,3.532085
OT01V4021281234,1776600282296.41,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282496.342,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282496.342,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,41048,65,true,0,0,270,480,34,34,4242,1,2,SV173,0,0,0,1,6848,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.575,0,3.5320899999999997
OT01V4021281234,1776600282496.342,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282496.342,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282496.342,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,41048,65,true,0,0,270,480,34,34,4242,1,2,SV173,0,0,0,1,6848,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.575,0,3.5320899999999997
OT01V4021281234,1776600282496.342,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282696.297,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282696.297,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,46006,86,true,0,0,270,480,39,39,8316,1,2,SV173,0,0,0,1,7865,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.656,0,3.5320989999999997
OT01V4021281234,1776600282696.297,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282696.297,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282696.297,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,46006,86,true,0,0,270,480,39,39,8316,1,2,SV173,0,0,0,1,7865,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.656,0,3.5320989999999997
OT01V4021281234,1776600282696.297,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282896.365,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282896.365,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,50595,99,true,0,0,270,480,45,45,10158,1,2,SV173,0,0,0,1,9072,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.759,0,3.532104
OT01V4021281234,1776600282896.365,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600282896.365,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600282896.365,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,50595,99,true,0,0,270,480,45,45,10158,1,2,SV173,0,0,0,1,9072,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.759,0,3.532104
OT01V4021281234,1776600282896.365,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600283096.379,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600283096.379,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,55491,117,true,0,0,270,480,51,51,13650,1,2,SV173,0,0,0,1,10266,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.859,0,3.532104
OT01V4021281234,1776600283096.379,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600283096.379,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600283096.379,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,55491,117,true,0,0,270,480,51,51,13650,1,2,SV173,0,0,0,1,10266,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.859,0,3.532104
OT01V4021281234,1776600283096.379,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600283296.448,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
