

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier,frameHeight
IT01V763418697,1776600183163.139,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.006,0,36,0,0,26861,0,11,21,1,21,0,1156,0.160966,21,0.5221819999999999,0.5221819999999999,1,1776600183140.808,0,0,0,0,763418698,0.102633,0.249244,0,1.115,0,0.417685,0.09711700000000004,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600183363.485,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.005,0,43,0,0,30532,0,12,27,1,27,0,1380,0.161349,27,0.611475,0.611475,1,1776600183339.099,0,0,0,0,763418698,0.10267,0.287554,0,1.315,0,0.45729,0.10386100000000005,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600183363.485,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.005,0,43,0,0,30532,0,12,27,1,27,0,1380,0.161349,27,0.611475,0.611475,1,1776600183339.099,0,0,0,0,763418698,0.10267,0.287554,0,1.315,0,0.45729,0.10386100000000005,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600183562.827,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.004,0,50,0,0,34424,0,13,33,1,33,0,1604,0.161735,33,0.702743,0.702743,1,1776600183539.378,0,0,0,0,763418698,0.102709,0.321992,0,1.511,0,0.493017,0.11032500000000005,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600183562.827,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.004,0,50,0,0,34424,0,13,33,1,33,0,1604,0.161735,33,0.702743,0.702743,1,1776600183539.378,0,0,0,0,763418698,0.102709,0.321992,0,1.511,0,0.493017,0.11032500000000005,8e36adb3-05b4-40c6-ac91-f0e6344f008a,270
IT01V763418697,1776600183762.576,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.007,0,54,0,0,38022,0,14,34,1,34,0,1736,0.204612,34,0.728327,0.728327,2,1776600183669.96,0,0,0,0,763418698,0.145496,0.343538,0,1.66,0,0.557559,0.13252600000000003,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600183762.576,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.007,0,54,0,0,38022,0,14,34,1,34,0,1736,0.204612,34,0.728327,0.728327,2,1776600183669.96,0,0,0,0,763418698,0.145496,0.343538,0,1.66,0,0.557559,0.13252600000000003,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600183962.567,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.013,0,58,0,0,39394,0,14,38,1,38,0,1864,0.20474599999999998,38,0.861007,0.861007,2,1776600183905.583,0,0,0,0,763418698,0.145496,0.350163,0,1.875,0,0.564445,0.15134500000000004,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600183962.567,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.013,0,58,0,0,39394,0,14,38,1,38,0,1864,0.20474599999999998,38,0.861007,0.861007,2,1776600183905.583,0,0,0,0,763418698,0.145496,0.350163,0,1.875,0,0.564445,0.15134500000000004,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600184162.615,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.02,0,63,0,0,41416,0,14,43,1,43,0,2024,0.207816,43,1.06429,1.06429,2,1776600184128.621,0,0,0,0,763418698,0.145496,0.357784,0,2.098,0,0.575311,0.16896800000000003,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600184162.615,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.02,0,63,0,0,41416,0,14,43,1,43,0,2024,0.207816,43,1.06429,1.06429,2,1776600184128.621,0,0,0,0,763418698,0.145496,0.357784,0,2.098,0,0.575311,0.16896800000000003,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600184362.817,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.022,0,71,0,0,44237,0,14,49,2,51,0,2280,0.250816,49,1.3672549999999999,1.3672549999999999,2,1776600184348.085,0,0,0,0,763418698,0.145496,0.367655,0,2.309,0,0.628397,0.18128300000000003,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600184362.817,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.022,0,71,0,0,44237,0,14,49,2,51,0,2280,0.250816,49,1.3672549999999999,1.3672549999999999,2,1776600184348.085,0,0,0,0,763418698,0.145496,0.367655,0,2.309,0,0.628397,0.18128300000000003,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600184562.574,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.027,0,78,0,0,46810,0,14,55,2,58,0,2504,0.529947,55,1.6865569999999999,1.6865569999999999,2,1776600184490.405,0,0,0,0,763418698,0.145496,0.378206,0,2.512,0,0.91836,0.18890600000000002,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600184562.574,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.027,0,78,0,0,46810,0,14,55,2,58,0,2504,0.529947,55,1.6865569999999999,1.6865569999999999,2,1776600184490.405,0,0,0,0,763418698,0.145496,0.378206,0,2.512,0,0.91836,0.18890600000000002,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600184762.659,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.031,0,86,0,0,49884,0,14,62,2,66,0,2760,1.231275,62,2.0951459999999997,2.0951459999999997,2,1776600184681.214,0,0,0,0,763418698,0.145496,0.389969,0,2.731,0,1.631703,0.19675099999999998,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600184762.659,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.031,0,86,0,0,49884,0,14,62,2,66,0,2760,1.231275,62,2.0951459999999997,2.0951459999999997,2,1776600184681.214,0,0,0,0,763418698,0.145496,0.389969,0,2.731,0,1.631703,0.19675099999999998,8e36adb3-05b4-40c6-ac91-f0e6344f008a,180
IT01V763418697,1776600184962.639,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.034,0,97,0,0,59096,0,15,66,2,67,0,3120,1.836311,66,2.381678,2.381678,3,1776600184922.873,0,0,0,0,763418698,0.14551799999999998,0.41339699999999996,0,2.896,0,2.2632,0.20370399999999997,8e36adb3-05b4-40c6-ac91-f0e6344f008a,360
IT01V763418697,1776600184962.639,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.034,0,97,0,0,59096,0,15,66,2,67,0,3120,1.836311,66,2.381678,2.381678,3,1776600184922.873,0,0,0,0,763418698,0.14551799999999998,0.41339699999999996,0,2.896,0,2.2632,0.20370399999999997,8e36adb3-05b4-40c6-ac91-f0e6344f008a,360
IT01V763418697,1776600185162.94,inbound-rtp,CIT01_105_profile-id=0,video,video,763418697,T01,0.034,0,113,0,0,70216,0,16,67,8,71,1,3632,1.984562,67,2.489102,2.489102,3,1776600185162.314,0,0,0,0,763418698,0.207229,0.419261,0.199,3.095,0,2.417614,0.24330499999999997,8e36adb3-05b4-40c6-ac91-f0e6344f008a,360
