,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
Unnamed 89,26502,996320,94,video_vp9,svc,1,1,27800.0,0.0,0.0,0.0,13.178467,0.468728,1.387594,11.696,27.479,34.48002699999995,0,14.629154,249,285,363,6
Unnamed 90,30232,4064381,95,video_vp9,svc,1,2,27800.0,25800.0,92.80575539568345,0.0,12.312525,0.0545919999999999,7.202033999999999,0.0,27.658,1.2592719999999982,0,19.67542,775,33,775,0
Unnamed 91,27398,1804805,96,video_vp9,svc,2,0,27799.0,0.0,0.0,0.0,10.98111,0.374708,1.687149,15.423,27.49,39.74197800000006,0,12.296994,246,413,427,9
Unnamed 92,33160,6185025,97,video_vp9,svc,2,1,27799.0,367.205078125,1.320929091424152,6432.794921875,1.709496,0.0151759999999999,1.446577,17.09,27.336,53.239156,0,2.846881,84,854,282,8
279,34037,8526543,98,video_vp9,svc,2,2,27799.0,251.64599609375,0.9052339871713012,948.35400390625,1.917982,0.014022,1.431149,15.901,26.001,51.071427,0,3.012678,87,1575,428,7
Unnamed 93,15837,387991,99,video_vp9,simulcast,0,0,27800.0,11520.138916015625,41.439348618761244,2879.861083984375,0.397572,0.3458159999999999,0.6836479999999999,14.118,25.531,42.583429,0,1.103362,92,64,92,5
Unnamed 94,24398,658801,100,video_vp9,simulcast,0,1,27800.0,27800.0,100.0,0.0,5.595129,0.034412,2.386681,0.0,27.616,11.027412000000028,0,8.068327,371,32,371,0
Unnamed 95,27317,882628,101,video_vp9,simulcast,0,2,27800.0,17600.0,63.30935251798561,0.0,13.454134,0.938531,4.444645,0.0,27.521,1.247050999999996,0,18.068065,738,3,740,0
Unnamed 96,21998,971939,102,video_vp9,simulcast,1,0,27800.0,4364.0,15.697841726618705,9436.0,4.18423,1.212363,2.393812,9.436,26.732,30.83541200000001,0,6.662453999999999,408,41,410,3
Unnamed 97,25582,1192801,103,video_vp9,simulcast,1,1,28800.0,3472.155029296875,12.056093851725262,1728.844970703125,6.11607,1.418898,2.550981,10.359,26.021,23.116633000000004,0,8.755633999999999,420,94,421,9
Unnamed 98,27662,1551635,104,video_vp9,simulcast,1,2,27800.0,8183.8359375,29.43825876798561,5416.1640625,11.584494,2.283564,3.468926,5.455,27.589,13.709939,0,15.189693,549,93,554,4
Unnamed 99,24861,1360321,105,video_vp9,simulcast,2,0,27800.0,0.0,0.0,0.0,4.355734,1.200387,1.927799,9.357,25.952,30.814964000000007,0,6.355649,317,126,317,3
Unnamed 100,27223,1570339,106,video_vp9,simulcast,2,1,27800.0,0.0,0.0,0.0,12.632216,2.060786,3.299417,3.73,27.525,11.618530999999992,0,16.007701,545,92,548,3
Unnamed 101,27142,1560912,107,video_vp9,simulcast,2,2,27800.0,0.0,0.0,0.0,7.901606999999999,1.906468,2.880365,9.797,27.513,20.47286900000002,0,10.839644,466,168,467,10
Unnamed 102,14417,286535,108,video_av1,svc,0,0,27800.0,27800.0,100.0,0.0,3.958933,0.6121179999999999,0.358775,0.0,17.683,2.576538999999999,0,4.351705,130,0,130,0
Unnamed 103,18803,362850,109,video_av1,svc,0,1,27800.0,26559.0,95.53597122302159,240.0,16.54816,0.783851,0.63259,0.24,17.65,1.3848519999999993,0,17.243427,257,0,257,1
Unnamed 104,19842,495268,110,video_av1,svc,0,2,27800.0,22940.0,82.5179856115108,259.0,25.433542,0.747417,1.074702,0.259,17.864,0.8408460000000016,0,26.617328,511,0,511,1
Unnamed 105,17733,672731,111,video_av1,svc,1,0,27800.0,11788.241943359375,42.403747997695596,10411.758056640625,3.125985,0.5328149999999999,0.3079469999999999,10.913,15.989,36.661059,0,3.463508,122,105,160,5
Unnamed 106,20289,793055,112,video_av1,svc,1,1,27799.0,12645.279052734375,45.488251565647595,9754.720947265625,4.560899,0.751103,0.351416,10.053,14.905,32.301507,0,4.949025,150,174,205,4
Unnamed 107,20916,952149,113,video_av1,svc,1,2,27800.0,12684.362060546875,45.627201656643436,9715.637939453125,5.016722,0.790531,0.3539069999999999,10.214,14.872,32.086822,0,5.405237,151,323,217,5
Unnamed 108,20410,1047638,114,video_av1,svc,2,0,27600.0,0.0,0.0,0.0,2.232726,0.790881,0.3127149999999999,10.176,14.689,31.753637,0,2.571572,148,322,242,5
Unnamed 109,20841,1051744,115,video_av1,svc,2,1,27800.0,0.0,0.0,0.0,3.914619,0.585599,0.307604,10.277,14.88,32.25317199999999,0,4.255063,130,339,223,5
Unnamed 110,20358,1024727,116,video_av1,svc,2,2,27800.0,0.0,0.0,0.0,7.108579,0.703472,0.291337,10.493,15.477,34.378395,0,7.383006,120,358,216,5
Unnamed 111,17313,462315,117,video_av1,simulcast,0,0,28001.0,22399.0,79.99357165815506,0.0,1.529658,0.7415229999999999,1.353102,0.0,27.347,4.326345,0,2.932309,183,0,184,0
Unnamed 112,24134,576897,118,video_av1,simulcast,0,1,27996.0,16201.0,57.86898128304043,0.0,10.111102,0.895358,2.385402,0.0,27.556,2.345586,0,12.596464,359,0,360,0
Unnamed 113,27161,851488,119,video_av1,simulcast,0,2,27800.0,13801.0,49.643884892086334,0.0,18.179257,1.306345,4.273357,0.0,27.542,1.4079119999999945,0,22.613807,707,1,709,0
Unnamed 114,23118,1090860,120,video_av1,simulcast,1,0,27800.0,12359.0,44.4568345323741,1441.0,11.542842,2.657272,2.770913,1.441,27.393,3.237445,0,14.383784,444,0,445,4
Unnamed 115,26101,1297070,121,video_av1,simulcast,1,1,28000.0,7300.0,26.071428571428573,500.0,13.933713,2.593085,3.283834,0.5,27.516,2.058012000000003,0,17.343348,530,0,531,2
Unnamed 116,27336,1721097,122,video_av1,simulcast,1,2,27799.0,8585.0,30.882405841936762,215.0,33.03218,3.689122,4.325347,0.423,27.615,1.5498569999999885,0,37.517318,691,0,694,2
Unnamed 117,27400,1744129,123,video_av1,simulcast,2,0,27800.0,0.0,0.0,0.0,32.152803,3.977001,4.256212,0.265,27.626,1.540353999999989,0,36.580694,689,0,690,1
Unnamed 118,27481,1709994,124,video_av1,simulcast,2,1,27800.0,0.0,0.0,0.0,29.587207,3.932197,4.245356999999999,0.23,27.486,1.4799179999999914,0,33.897072,693,0,695,1
Unnamed 119,27277,1657011,125,video_av1,simulcast,2,2,27800.0,0.0,0.0,0.0,21.838983,3.540763,3.550878,3.217,27.644,11.857676,0,25.530787,561,0,562,1
Unnamed 120,16793,554401,126,video_vp9,svc,0,0,27801.0,25608.93798828125,92.11516847696576,992.06201171875,0.8141149999999999,0.075794,1.3976,1.193,27.685,5.175882999999999,0,2.261523,197,0,197,1
Unnamed 121,24726,713410,127,video_vp9,svc,0,1,28000.0,27800.0,99.28571428571429,0.0,2.748808,0.044542,2.571668,0.0,27.738,2.265712000000004,0,5.418548,403,1,404,0
Unnamed 122,26366,477228,128,video_vp9,svc,0,2,27799.0,1600.0,5.755602719522285,0.0,15.242155,0.407146,4.598876,0.188,27.478,1.2394639999999957,0,20.029151,806,5,811,1
279,19726,2233808,129,video_vp9,svc,1,0,27800.0,26999.0,97.11870503597122,0.0,1.658455,0.0297559999999999,3.022422,0.0,27.749,3.722941000000002,0,4.733581,210,0,210,0
Unnamed 123,26484,1103614,130,video_vp9,svc,1,1,27799.0,0.0,0.0,0.0,7.466750999999999,0.356328,1.428982,16.337,26.168,52.86907600000002,0,8.939206,189,406,361,6
Unnamed 124,30150,4105986,131,video_vp9,svc,1,2,27799.0,24201.0,87.05708838447426,0.0,11.918968,0.091302,7.240995,0.0,27.777,1.2123249999999968,0,19.309945,785,28,788,0
Unnamed 125,27103,1777899,132,video_vp9,svc,2,0,27801.0,0.0,0.0,0.0,11.064039,0.447492,2.003663,15.873,26.589,37.84952900000005,0,12.827114,269,446,440,10
Unnamed 126,29408,2009549,133,video_vp9,svc,2,1,27800.0,0.0,0.0,0.0,11.393383,0.486,1.911323,15.612,27.369,38.50705300000005,0,12.88381,271,503,513,11
Unnamed 127,37779,8517922,134,video_vp9,svc,2,2,27799.0,0.0,0.0,2799.0,1.971677,0.007377,1.351807,10.679,27.656,41.65421999999999,0,2.700587,57,1638,374,6
Unnamed 128,17452,479926,135,video_vp9,simulcast,0,0,27800.0,27800.0,100.0,0.0,0.916154,0.0218709999999999,1.427021,0.0,27.6,12.689975999999994,0,2.402445,187,20,187,0
Unnamed 129,22915,559527,136,video_vp9,simulcast,0,1,27800.0,11859.174072265625,42.658899540523834,3140.825927734375,0.518339,0.289846,1.168598,12.485,26.713,40.718817,0,1.722923,181,144,181,5
Unnamed 130,27121,863705,137,video_vp9,simulcast,0,2,27800.0,11294.87109375,40.629032711330936,2905.12890625,3.490583,0.48507,2.964077,9.248,27.516,29.33313200000008,0,6.562951,503,180,504,3
