id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V1478530518,1776598073729.367,outbound-rtp,COT01_98_profile-id=0,video,video,1478530518,T01,0,0,true,1,0,0,0,0,0,0,SV107,0,0,0,0,[object Object],none,0,0,0,r1,3284193008,0,0,0
OT01V1661016206,1776598073729.367,outbound-rtp,COT01_98_profile-id=0,video,video,1661016206,T01,0,0,true,2,0,0,0,0,0,0,SV107,0,0,0,0,[object Object],none,0,0,0,r2,339081227,0,0,0
OT01V3889447490,1776598073729.367,outbound-rtp,COT01_98_profile-id=0,video,video,3889447490,T01,0,0,true,0,0,0,0,0,0,0,SV107,0,0,0,0,[object Object],none,0,0,0,r0,364672179,0,0,0
OT01V1478530518,1776598073729.367,outbound-rtp,COT01_98_profile-id=0,video,video,1478530518,T01,0,0,true,1,0,0,0,0,0,0,SV107,0,0,0,0,[object Object],none,0,0,0,r1,3284193008,0,0,0
OT01V1661016206,1776598073729.367,outbound-rtp,COT01_98_profile-id=0,video,video,1661016206,T01,0,0,true,2,0,0,0,0,0,0,SV107,0,0,0,0,[object Object],none,0,0,0,r2,339081227,0,0,0
OT01V3889447490,1776598073729.367,outbound-rtp,COT01_98_profile-id=0,video,video,3889447490,T01,0,0,true,0,0,0,0,0,0,0,SV107,0,0,0,0,[object Object],none,0,0,0,r0,364672179,0,0,0
OT01V1478530518,1776598073929.336,outbound-rtp,COT01_98_profile-id=0,video,video,1478530518,T01,0,0,true,1,0,0,0,0,0,0,SV107,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3284193008,0,0,0
OT01V1661016206,1776598073929.336,outbound-rtp,COT01_98_profile-id=0,video,video,1661016206,T01,0,1,true,2,0,0,0,283,0,0,SV107,0,0,0,0,[object Object],bandwidth,0,0,0,r2,339081227,0,0,0
OT01V3889447490,1776598073929.336,outbound-rtp,COT01_98_profile-id=0,video,video,3889447490,T01,8513,10,true,0,0,4,4,547,1,1,SV107,0,0,0,1,[object Object],bandwidth,0,0,0,r0,364672179,0.161,0,0.111937
OT01V1478530518,1776598073929.336,outbound-rtp,COT01_98_profile-id=0,video,video,1478530518,T01,0,0,true,1,0,0,0,0,0,0,SV107,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3284193008,0,0,0
OT01V1661016206,1776598073929.336,outbound-rtp,COT01_98_profile-id=0,video,video,1661016206,T01,0,1,true,2,0,0,0,283,0,0,SV107,0,0,0,0,[object Object],bandwidth,0,0,0,r2,339081227,0,0,0
OT01V3889447490,1776598073929.336,outbound-rtp,COT01_98_profile-id=0,video,video,3889447490,T01,8513,10,true,0,0,4,4,547,1,1,SV107,0,0,0,1,[object Object],bandwidth,0,0,0,r0,364672179,0.161,0,0.111937
