id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V4028680030,1776599311171.6,outbound-rtp,COT01_98_profile-id=0,video,video,4028680030,T01,0,0,true,1,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],none,0,0,0,r1,3484205843,0,0,0
OT01V4275783760,1776599311171.6,outbound-rtp,COT01_98_profile-id=0,video,video,4275783760,T01,0,0,true,0,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],none,0,0,0,r0,2287903861,0,0,0
OT01V758869305,1776599311171.6,outbound-rtp,COT01_98_profile-id=0,video,video,758869305,T01,0,0,true,2,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],none,0,0,0,r2,1994447512,0,0,0
OT01V4028680030,1776599311171.6,outbound-rtp,COT01_98_profile-id=0,video,video,4028680030,T01,0,0,true,1,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],none,0,0,0,r1,3484205843,0,0,0
OT01V4275783760,1776599311171.6,outbound-rtp,COT01_98_profile-id=0,video,video,4275783760,T01,0,0,true,0,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],none,0,0,0,r0,2287903861,0,0,0
OT01V758869305,1776599311171.6,outbound-rtp,COT01_98_profile-id=0,video,video,758869305,T01,0,0,true,2,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],none,0,0,0,r2,1994447512,0,0,0
OT01V4028680030,1776599311371.604,outbound-rtp,COT01_98_profile-id=0,video,video,4028680030,T01,0,0,true,1,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3484205843,0,0,0
OT01V4275783760,1776599311371.604,outbound-rtp,COT01_98_profile-id=0,video,video,4275783760,T01,8513,10,true,0,0,5,5,547,2,2,SV144,0,0,0,1,[object Object],bandwidth,0,0,0,r0,2287903861,0.136,0,0.130013
OT01V758869305,1776599311371.604,outbound-rtp,COT01_98_profile-id=0,video,video,758869305,T01,0,1,true,2,0,0,0,283,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1994447512,0,0,0
OT01V4028680030,1776599311371.604,outbound-rtp,COT01_98_profile-id=0,video,video,4028680030,T01,0,0,true,1,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3484205843,0,0,0
OT01V4275783760,1776599311371.604,outbound-rtp,COT01_98_profile-id=0,video,video,4275783760,T01,8513,10,true,0,0,5,5,547,2,2,SV144,0,0,0,1,[object Object],bandwidth,0,0,0,r0,2287903861,0.136,0,0.130013
OT01V758869305,1776599311371.604,outbound-rtp,COT01_98_profile-id=0,video,video,758869305,T01,0,1,true,2,0,0,0,283,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1994447512,0,0,0
OT01V4028680030,1776599311571.807,outbound-rtp,COT01_98_profile-id=0,video,video,4028680030,T01,0,0,true,1,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3484205843,0,0,0
OT01V4275783760,1776599311571.807,outbound-rtp,COT01_98_profile-id=0,video,video,4275783760,T01,13695,17,true,0,0,10,10,747,2,2,SV144,0,0,0,1,[object Object],bandwidth,0,0,0,r0,2287903861,0.223,0,1.135673
OT01V758869305,1776599311571.807,outbound-rtp,COT01_98_profile-id=0,video,video,758869305,T01,0,1,true,2,0,0,0,283,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1994447512,0,0,0
OT01V4028680030,1776599311571.807,outbound-rtp,COT01_98_profile-id=0,video,video,4028680030,T01,0,0,true,1,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3484205843,0,0,0
OT01V4275783760,1776599311571.807,outbound-rtp,COT01_98_profile-id=0,video,video,4275783760,T01,13695,17,true,0,0,10,10,747,2,2,SV144,0,0,0,1,[object Object],bandwidth,0,0,0,r0,2287903861,0.223,0,1.135673
OT01V758869305,1776599311571.807,outbound-rtp,COT01_98_profile-id=0,video,video,758869305,T01,0,1,true,2,0,0,0,283,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1994447512,0,0,0
OT01V4028680030,1776599311771.726,outbound-rtp,COT01_98_profile-id=0,video,video,4028680030,T01,0,0,true,1,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3484205843,0,0,0
OT01V4275783760,1776599311771.726,outbound-rtp,COT01_98_profile-id=0,video,video,4275783760,T01,22110,28,true,0,0,14,14,1039,2,2,SV144,0,0,0,1,[object Object],bandwidth,0,0,0,r0,2287903861,0.302,0,1.782964
OT01V758869305,1776599311771.726,outbound-rtp,COT01_98_profile-id=0,video,video,758869305,T01,0,1,true,2,0,0,0,283,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1994447512,0,0,0
OT01V4028680030,1776599311771.726,outbound-rtp,COT01_98_profile-id=0,video,video,4028680030,T01,0,0,true,1,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3484205843,0,0,0
OT01V4275783760,1776599311771.726,outbound-rtp,COT01_98_profile-id=0,video,video,4275783760,T01,22110,28,true,0,0,14,14,1039,2,2,SV144,0,0,0,1,[object Object],bandwidth,0,0,0,r0,2287903861,0.302,0,1.782964
OT01V758869305,1776599311771.726,outbound-rtp,COT01_98_profile-id=0,video,video,758869305,T01,0,1,true,2,0,0,0,283,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1994447512,0,0,0
OT01V4028680030,1776599311971.573,outbound-rtp,COT01_98_profile-id=0,video,video,4028680030,T01,0,0,true,1,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3484205843,0,0,0
OT01V4275783760,1776599311971.573,outbound-rtp,COT01_98_profile-id=0,video,video,4275783760,T01,26606,35,true,0,0,19,19,1207,2,2,SV144,0,0,0,1,[object Object],bandwidth,0,0,0,r0,2287903861,0.388,0,1.8219409999999998
OT01V758869305,1776599311971.573,outbound-rtp,COT01_98_profile-id=0,video,video,758869305,T01,0,1,true,2,0,0,0,283,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1994447512,0,0,0
OT01V4028680030,1776599311971.573,outbound-rtp,COT01_98_profile-id=0,video,video,4028680030,T01,0,0,true,1,0,0,0,0,0,0,SV144,0,0,0,0,[object Object],bandwidth,0,0,0,r1,3484205843,0,0,0
