

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,qpSum,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V675539603,1776596503352.791,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.009,0,95,0,0,95780,0,270,480,12,20,0,17,20,0,3052,0.296389,20,0.7425419999999999,0.7425419999999999,2,1776596503342.107,0,0,0,0,3856,675539604,0.041457999999999995,0.20823699999999998,0,1.241,0,0.5107309999999999,0.127885,7d4b6ad5-6a55-4047-9e91-96be3fd58360
IT01V675539603,1776596503352.791,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.009,0,95,0,0,95780,0,270,480,12,20,0,17,20,0,3052,0.296389,20,0.7425419999999999,0.7425419999999999,2,1776596503342.107,0,0,0,0,3856,675539604,0.041457999999999995,0.20823699999999998,0,1.241,0,0.5107309999999999,0.127885,7d4b6ad5-6a55-4047-9e91-96be3fd58360
IT01V675539603,1776596503552.687,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.01,0,101,0,0,98886,0,270,480,13,25,0,21,25,0,3244,0.330966,25,0.912735,0.912735,2,1776596503504.282,0,0,0,0,4859,675539604,0.04147,0.210534,0,1.41,0,0.547805,0.1338,7d4b6ad5-6a55-4047-9e91-96be3fd58360
IT01V675539603,1776596503552.687,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.01,0,101,0,0,98886,0,270,480,13,25,0,21,25,0,3244,0.330966,25,0.912735,0.912735,2,1776596503504.282,0,0,0,0,4859,675539604,0.04147,0.210534,0,1.41,0,0.547805,0.1338,7d4b6ad5-6a55-4047-9e91-96be3fd58360
IT01V675539603,1776596503752.663,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.011,0,111,0,0,105555,0,270,480,16,32,0,25,32,0,3564,0.374669,32,1.155646,1.155646,2,1776596503744.722,0,0,0,0,6203,675539604,0.041547,0.214242,0,1.645,0,0.595483,0.14193299999999998,7d4b6ad5-6a55-4047-9e91-96be3fd58360
IT01V675539603,1776596503752.663,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.011,0,111,0,0,105555,0,270,480,16,32,0,25,32,0,3564,0.374669,32,1.155646,1.155646,2,1776596503744.722,0,0,0,0,6203,675539604,0.041547,0.214242,0,1.645,0,0.595483,0.14193299999999998,7d4b6ad5-6a55-4047-9e91-96be3fd58360
IT01V675539603,1776596503953.252,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.012,0,118,0,0,110247,0,270,480,17,38,0,30,38,0,3788,0.40752299999999997,38,1.349394,1.349394,2,1776596503944.574,0,0,0,0,7371,675539604,0.041588,0.22553499999999999,0,1.849,0,0.640327,0.15029299999999998,7d4b6ad5-6a55-4047-9e91-96be3fd58360
IT01V675539603,1776596503953.252,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.012,0,118,0,0,110247,0,270,480,17,38,0,30,38,0,3788,0.40752299999999997,38,1.349394,1.349394,2,1776596503944.574,0,0,0,0,7371,675539604,0.041588,0.22553499999999999,0,1.849,0,0.640327,0.15029299999999998,7d4b6ad5-6a55-4047-9e91-96be3fd58360
IT01V675539603,1776596504153.1,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.01,0,145,0,0,138550,0,540,960,20,43,0,30,43,0,4660,0.462572,43,1.5055159999999999,1.5055159999999999,3,1776596504117.523,0,0,0,0,8309,675539604,0.041761,0.255436,0,2.04,0,0.726202,0.15802399999999997,7d4b6ad5-6a55-4047-9e91-96be3fd58360
IT01V675539603,1776596504153.1,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.01,0,145,0,0,138550,0,540,960,20,43,0,30,43,0,4660,0.462572,43,1.5055159999999999,1.5055159999999999,3,1776596504117.523,0,0,0,0,8309,675539604,0.041761,0.255436,0,2.04,0,0.726202,0.15802399999999997,7d4b6ad5-6a55-4047-9e91-96be3fd58360
IT01V675539603,1776596504353.318,inbound-rtp,CIT01_105_profile-id=0,video,video,675539603,T01,0.015,0,178,0,0,168796,0,540,960,22,49,0,29,49,0,5716,0.51967,49,1.666237,1.666237,3,1776596504321.8372,0,0,0,0,9508,675539604,0.041812999999999996,0.31145999999999996,0,2.232,0,0.840279,0.16710199999999997,7d4b6ad5-6a55-4047-9e91-96be3fd58360
