

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V343489504,1776604831850.055,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.003,0,33,0,0,30061,0,270,480,6,16,0,13,16,0,1068,0.09497599999999999,16,0.10507599999999999,0.10507599999999999,3,1776604831836.033,0,0,0,0,343489505,0.045593999999999996,0.239203,0,1.269,0,0.344609,0.4914970000000001,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604832048.785,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.003,0,40,0,0,34633,0,270,480,7,22,0,19,22,0,1292,0.101158,22,0.180398,0.180398,3,1776604832035.843,0,0,0,0,343489505,0.045619,0.26436699999999996,0,1.474,0,0.37668799999999997,0.4985800000000001,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604832048.785,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.003,0,40,0,0,34633,0,270,480,7,22,0,19,22,0,1292,0.101158,22,0.180398,0.180398,3,1776604832035.843,0,0,0,0,343489505,0.045619,0.26436699999999996,0,1.474,0,0.37668799999999997,0.4985800000000001,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604832249.069,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.002,0,47,0,0,38393,0,270,480,8,27,0,23,28,0,1516,0.117327,28,0.25642,0.25642,3,1776604832234.415,0,0,0,0,343489505,0.045659,0.28992999999999997,0,1.632,0,0.408869,0.503606,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604832249.069,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.002,0,47,0,0,38393,0,270,480,8,27,0,23,28,0,1516,0.117327,28,0.25642,0.25642,3,1776604832234.415,0,0,0,0,343489505,0.045659,0.28992999999999997,0,1.632,0,0.408869,0.503606,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604832448.405,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.004,0,57,0,0,44784,0,270,480,12,34,0,30,34,0,1836,0.126219,34,0.330878,0.330878,3,1776604832434.201,0,0,0,0,343489505,0.045909,0.326553,0,1.864,0,0.466466,0.512092,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604832448.405,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.004,0,57,0,0,44784,0,270,480,12,34,0,30,34,0,1836,0.126219,34,0.330878,0.330878,3,1776604832434.201,0,0,0,0,343489505,0.045909,0.326553,0,1.864,0,0.466466,0.512092,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604832648.974,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.003,0,64,0,0,49664,0,270,480,13,40,0,30,40,0,2060,0.14405099999999998,40,0.407527,0.407527,3,1776604832634.355,0,0,0,0,343489505,0.045949,0.35670599999999997,0,2.069,0,0.5160629999999999,0.5192230000000001,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604832648.974,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.003,0,64,0,0,49664,0,270,480,13,40,0,30,40,0,2060,0.14405099999999998,40,0.407527,0.407527,3,1776604832634.355,0,0,0,0,343489505,0.045949,0.35670599999999997,0,2.069,0,0.5160629999999999,0.5192230000000001,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604832848.717,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.005,0,73,0,0,55617,0,270,480,15,46,0,30,46,0,2348,0.16848,46,0.48705499999999996,0.48705499999999996,3,1776604832836.384,0,0,0,0,343489505,0.046077,0.397235,0,2.271,0,0.582386,0.5265770000000002,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604832848.717,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.005,0,73,0,0,55617,0,270,480,15,46,0,30,46,0,2348,0.16848,46,0.48705499999999996,0.48705499999999996,3,1776604832836.384,0,0,0,0,343489505,0.046077,0.397235,0,2.271,0,0.582386,0.5265770000000002,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604833048.616,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.004,0,83,0,0,62996,0,270,480,18,52,0,30,52,0,2668,0.203517,52,0.5656209999999999,0.5656209999999999,3,1776604833036.652,0,0,0,0,343489505,0.047847,0.434525,0,2.474,0,0.656628,0.5335040000000002,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604833048.616,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.004,0,83,0,0,62996,0,270,480,18,52,0,30,52,0,2668,0.203517,52,0.5656209999999999,0.5656209999999999,3,1776604833036.652,0,0,0,0,343489505,0.047847,0.434525,0,2.474,0,0.656628,0.5335040000000002,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604833248.635,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.004,0,93,0,0,71664,0,270,480,21,57,0,30,57,0,2988,0.216395,57,0.628142,0.628142,3,1776604833204.353,0,0,0,0,343489505,0.048399,0.462779,0,2.645,0,0.699438,0.5396030000000002,a4b982df-c62d-4951-a58e-b18f2e3187cc
IT01V343489504,1776604833248.635,inbound-rtp,CIT01_105_profile-id=0,video,video,343489504,T01,0.004,0,93,0,0,71664,0,270,480,21,57,0,30,57,0,2988,0.216395,57,0.628142,0.628142,3,1776604833204.353,0,0,0,0,343489505,0.048399,0.462779,0,2.645,0,0.699438,0.5396030000000002,a4b982df-c62d-4951-a58e-b18f2e3187cc
