

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V943667946,1776271228615.02,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.01,0,78,0,0,75211,0,540,960,11,15,0,12,15,0,2512,0.113561,15,0.296965,0.296965,3,1776271228602.899,0,0,0,0,943667947,0.056741,0.11771699999999999,0,1.302,0,0.24567499999999998,0.141764,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271228615.02,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.01,0,78,0,0,75211,0,540,960,11,15,0,12,15,0,2512,0.113561,15,0.296965,0.296965,3,1776271228602.899,0,0,0,0,943667947,0.056741,0.11771699999999999,0,1.302,0,0.24567499999999998,0.141764,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271228814.924,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.009,0,97,0,0,93845,0,540,960,13,18,0,13,18,0,3120,0.14165999999999998,18,0.389824,0.389824,3,1776271228798.428,0,0,0,0,943667947,0.056933,0.150956,0,1.504,0,0.307404,0.155474,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271228814.924,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.009,0,97,0,0,93845,0,540,960,13,18,0,13,18,0,3120,0.14165999999999998,18,0.389824,0.389824,3,1776271228798.428,0,0,0,0,943667947,0.056933,0.150956,0,1.504,0,0.307404,0.155474,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271229014.916,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.009,0,109,0,0,103754,0,540,960,14,21,0,15,21,0,3504,0.16536399999999998,21,0.46646,0.46646,3,1776271228984.2,0,0,0,0,943667947,0.056962,0.176441,0,1.696,0,0.356989,0.168074,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271229014.916,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.009,0,109,0,0,103754,0,540,960,14,21,0,15,21,0,3504,0.16536399999999998,21,0.46646,0.46646,3,1776271228984.2,0,0,0,0,943667947,0.056962,0.176441,0,1.696,0,0.356989,0.168074,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271229215.149,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.008,0,131,0,0,127479,0,540,960,16,24,0,16,24,0,4208,0.190545,24,0.5350469999999999,0.5350469999999999,3,1776271229205.072,0,0,0,0,943667947,0.057024,0.20213599999999998,0,1.904,0,0.408197,0.18254399999999998,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271229215.149,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.008,0,131,0,0,127479,0,540,960,16,24,0,16,24,0,4208,0.190545,24,0.5350469999999999,0.5350469999999999,3,1776271229205.072,0,0,0,0,943667947,0.057024,0.20213599999999998,0,1.904,0,0.408197,0.18254399999999998,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271229414.984,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.008,0,147,0,0,142029,0,540,960,17,28,0,17,28,0,4720,0.22930699999999998,28,0.622331,0.622331,3,1776271229401.469,0,0,0,0,943667947,0.057054,0.231367,0,2.105,0,0.476659,0.19483699999999998,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271229414.984,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.008,0,147,0,0,142029,0,540,960,17,28,0,17,28,0,4720,0.22930699999999998,28,0.622331,0.622331,3,1776271229401.469,0,0,0,0,943667947,0.057054,0.231367,0,2.105,0,0.476659,0.19483699999999998,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
