

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V657657044,1776273971180.002,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.011,0,34,0,0,27990,0,270,480,10,18,1,19,0,1092,0.364942,18,0.759103,0.759103,1,1776273971171.975,0,0,0,0,0.14901799999999998,0.054766999999999996,0,1.315,0,0.43484999999999996,0.14927100000000001,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273971380.014,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.011,0,40,0,0,31765,0,270,480,11,23,1,24,0,1284,0.395571,23,0.918839,0.918839,1,1776273971379.136,0,0,0,0,0.149068,0.066663,0,1.488,0,0.4778,0.15779400000000005,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273971380.014,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.011,0,40,0,0,31765,0,270,480,11,23,1,24,0,1284,0.395571,23,0.918839,0.918839,1,1776273971379.136,0,0,0,0,0.149068,0.066663,0,1.488,0,0.4778,0.15779400000000005,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273971580.017,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.009,0,45,0,0,35117,0,270,480,11,29,1,29,0,1444,0.420012,29,1.0766989999999999,1.0766989999999999,1,1776273971543.427,0,0,0,0,0.149068,0.08076799999999999,0,1.691,0,0.517058,0.164955,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273971580.017,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.009,0,45,0,0,35117,0,270,480,11,29,1,29,0,1444,0.420012,29,1.0766989999999999,1.0766989999999999,1,1776273971543.427,0,0,0,0,0.149068,0.08076799999999999,0,1.691,0,0.517058,0.164955,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273971780.012,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.01,0,54,0,0,41627,0,270,480,13,35,1,35,0,1732,0.546064,35,1.332604,1.332604,1,1776273971747.9622,0,0,0,0,0.202339,0.09282699999999999,0,1.909,0,0.6558499999999999,0.17691499999999993,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273971780.012,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.01,0,54,0,0,41627,0,270,480,13,35,1,35,0,1732,0.546064,35,1.332604,1.332604,1,1776273971747.9622,0,0,0,0,0.202339,0.09282699999999999,0,1.909,0,0.6558499999999999,0.17691499999999993,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273971980.022,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.008,0,62,0,0,46781,0,270,480,15,41,1,41,0,1988,0.619032,41,1.56368,1.56368,1,1776273971951.8691,0,0,0,0,0.202395,0.10396599999999999,0,2.112,0,0.74046,0.1844419999999999,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273971980.022,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.008,0,62,0,0,46781,0,270,480,15,41,1,41,0,1988,0.619032,41,1.56368,1.56368,1,1776273971951.8691,0,0,0,0,0.202395,0.10396599999999999,0,2.112,0,0.74046,0.1844419999999999,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273972180.027,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.008,0,69,0,0,51652,0,270,480,15,47,1,48,0,2212,0.6778759999999999,47,1.777798,1.777798,1,1776273972168.5562,0,0,0,0,0.202395,0.11529299999999999,0,2.309,0,0.811238,0.19097299999999987,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273972180.027,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.008,0,69,0,0,51652,0,270,480,15,47,1,48,0,2212,0.6778759999999999,47,1.777798,1.777798,1,1776273972168.5562,0,0,0,0,0.202395,0.11529299999999999,0,2.309,0,0.811238,0.19097299999999987,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273972380.017,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.006,0,77,0,0,58069,0,270,480,17,53,1,54,0,2468,0.747475,53,1.99395,1.99395,1,1776273972379.706,0,0,0,0,0.202453,0.126172,0,2.503,0,0.8924169999999999,0.19752499999999984,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273972380.017,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.006,0,77,0,0,58069,0,270,480,17,53,1,54,0,2468,0.747475,53,1.99395,1.99395,1,1776273972379.706,0,0,0,0,0.202453,0.126172,0,2.503,0,0.8924169999999999,0.19752499999999984,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273972580.026,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.006,0,83,0,0,62511,0,270,480,17,59,1,60,0,2660,0.800562,59,2.197475,2.197475,1,1776273972578.946,0,0,0,0,0.202453,0.13730699999999998,0,2.706,0,0.9573309999999999,0.20460199999999978,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273972580.026,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.006,0,83,0,0,62511,0,270,480,17,59,1,60,0,2660,0.800562,59,2.197475,2.197475,1,1776273972578.946,0,0,0,0,0.202453,0.13730699999999998,0,2.706,0,0.9573309999999999,0.20460199999999978,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273972780.01,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,90,0,0,67562,0,270,480,19,65,1,65,0,2884,0.8535619999999999,65,2.399971,2.399971,1,1776273972750.038,0,0,0,0,0.202513,0.148332,0,2.909,0,1.021953,0.21216099999999977,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273972780.01,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,90,0,0,67562,0,270,480,19,65,1,65,0,2884,0.8535619999999999,65,2.399971,2.399971,1,1776273972750.038,0,0,0,0,0.202513,0.148332,0,2.909,0,1.021953,0.21216099999999977,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273972980.027,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.006,0,98,0,0,73376,0,270,480,21,71,1,71,0,3140,0.900806,71,2.596132,2.596132,1,1776273972954.978,0,0,0,0,0.202572,0.159191,0,3.113,0,1.080579,0.21930099999999972,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273972980.027,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.006,0,98,0,0,73376,0,270,480,21,71,1,71,0,3140,0.900806,71,2.596132,2.596132,1,1776273972954.978,0,0,0,0,0.202572,0.159191,0,3.113,0,1.080579,0.21930099999999972,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273973180.024,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,108,0,0,81785,0,270,480,24,77,1,78,0,3460,0.9482149999999999,77,2.783566,2.783566,1,1776273973174.0251,0,0,0,0,0.20266199999999998,0.17018,0,3.312,0,1.139587,0.22601799999999966,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273973180.024,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,108,0,0,81785,0,270,480,24,77,1,78,0,3460,0.9482149999999999,77,2.783566,2.783566,1,1776273973174.0251,0,0,0,0,0.20266199999999998,0.17018,0,3.312,0,1.139587,0.22601799999999966,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273973379.94,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,115,0,0,86507,0,270,480,25,83,1,84,0,3684,1.004611,83,2.973033,2.973033,1,1776273973379.448,0,0,0,0,0.20269299999999998,0.180982,0,3.503,0,1.2075069999999999,0.23250699999999963,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273973379.94,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,115,0,0,86507,0,270,480,25,83,1,84,0,3684,1.004611,83,2.973033,2.973033,1,1776273973379.448,0,0,0,0,0.20269299999999998,0.180982,0,3.503,0,1.2075069999999999,0.23250699999999963,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273973580.031,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,124,0,0,93006,0,270,480,29,89,1,89,0,3972,1.0670819999999999,89,3.161203,3.161203,1,1776273973545.6602,0,0,0,0,0.20283299999999999,0.19209099999999998,0,3.706,0,1.2816699999999999,0.23958399999999958,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273973580.031,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,124,0,0,93006,0,270,480,29,89,1,89,0,3972,1.0670819999999999,89,3.161203,3.161203,1,1776273973545.6602,0,0,0,0,0.20283299999999999,0.19209099999999998,0,3.706,0,1.2816699999999999,0.23958399999999958,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273973779.876,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,132,0,0,99017,0,270,480,31,95,1,95,0,4228,1.124761,95,3.340255,3.340255,1,1776273973747.59,0,0,0,0,0.20291199999999998,0.202819,0,3.909,0,1.3508529999999999,0.24714299999999956,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273973779.876,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,132,0,0,99017,0,270,480,31,95,1,95,0,4228,1.124761,95,3.340255,3.340255,1,1776273973747.59,0,0,0,0,0.20291199999999998,0.202819,0,3.909,0,1.3508529999999999,0.24714299999999956,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273973979.938,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,142,0,0,107251,0,270,480,34,101,1,102,0,4548,1.1766029999999998,101,3.5084999999999997,3.5084999999999997,1,1776273973977.86,0,0,0,0,0.203004,0.21395499999999998,0,4.113,0,1.41456,0.2542829999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273973979.938,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,142,0,0,107251,0,270,480,34,101,1,102,0,4548,1.1766029999999998,101,3.5084999999999997,3.5084999999999997,1,1776273973977.86,0,0,0,0,0.203004,0.21395499999999998,0,4.113,0,1.41456,0.2542829999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273974179.998,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.008,0,150,0,0,112388,0,270,480,36,107,1,108,0,4804,1.216823,107,3.6697599999999997,3.6697599999999997,1,1776273974169.042,0,0,0,0,0.203065,0.22475799999999999,0,4.309,0,1.4662709999999999,0.2612629999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273974179.998,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.008,0,150,0,0,112388,0,270,480,36,107,1,108,0,4804,1.216823,107,3.6697599999999997,3.6697599999999997,1,1776273974169.042,0,0,0,0,0.203065,0.22475799999999999,0,4.309,0,1.4662709999999999,0.2612629999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273974379.994,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.008,0,158,0,0,119106,0,270,480,39,113,1,113,0,5060,1.295726,113,3.837068,3.837068,1,1776273974338.122,0,0,0,0,0.20315799999999998,0.23576999999999998,0,4.503,0,1.556883,0.2678629999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273974379.994,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.008,0,158,0,0,119106,0,270,480,39,113,1,113,0,5060,1.295726,113,3.837068,3.837068,1,1776273974338.122,0,0,0,0,0.20315799999999998,0.23576999999999998,0,4.503,0,1.556883,0.2678629999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273974580.007,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,167,0,0,125949,0,270,480,41,119,1,120,0,5348,1.362876,119,3.9938629999999997,3.9938629999999997,1,1776273974579.743,0,0,0,0,0.20321399999999998,0.24682199999999999,0,4.706,0,1.635811,0.2749399999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273974580.007,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,167,0,0,125949,0,270,480,41,119,1,120,0,5348,1.362876,119,3.9938629999999997,3.9938629999999997,1,1776273974579.743,0,0,0,0,0.20321399999999998,0.24682199999999999,0,4.706,0,1.635811,0.2749399999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273974779.944,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.009,0,175,0,0,132397,0,270,480,44,125,1,125,0,5604,1.403088,125,4.145169,4.145169,1,1776273974757.976,0,0,0,0,0.20330399999999998,0.25738,0,4.909,0,1.6873019999999999,0.2821449999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273974779.944,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.009,0,175,0,0,132397,0,270,480,44,125,1,125,0,5604,1.403088,125,4.145169,4.145169,1,1776273974757.976,0,0,0,0,0.20330399999999998,0.25738,0,4.909,0,1.6873019999999999,0.2821449999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273974979.975,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.01,0,185,0,0,140675,0,270,480,46,131,1,131,0,5924,1.492009,131,4.321016999999999,4.321016999999999,1,1776273974966.657,0,0,0,0,0.254817,0.26970299999999997,0,5.114,0,1.7891759999999999,0.29229399999999955,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273974979.975,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.01,0,185,0,0,140675,0,270,480,46,131,1,131,0,5924,1.492009,131,4.321016999999999,4.321016999999999,1,1776273974966.657,0,0,0,0,0.254817,0.26970299999999997,0,5.114,0,1.7891759999999999,0.29229399999999955,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273975180.004,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.01,0,196,0,0,148933,0,270,480,50,137,1,138,0,6276,1.568937,137,4.530434,4.530434,1,1776273975169.227,0,0,0,0,0.254945,0.280448,0,5.315,0,1.8775579999999998,0.29924699999999954,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273975180.004,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.01,0,196,0,0,148933,0,270,480,50,137,1,138,0,6276,1.568937,137,4.530434,4.530434,1,1776273975169.227,0,0,0,0,0.254945,0.280448,0,5.315,0,1.8775579999999998,0.29924699999999954,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273975379.904,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.008,0,204,0,0,154042,0,270,480,52,143,1,144,0,6532,1.7083,143,4.736918,4.736918,1,1776273975377.886,0,0,0,0,0.255017,0.29140299999999997,0,5.519,0,2.02853,0.3063869999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273975379.904,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.008,0,204,0,0,154042,0,270,480,52,143,1,144,0,6532,1.7083,143,4.736918,4.736918,1,1776273975377.886,0,0,0,0,0.255017,0.29140299999999997,0,5.519,0,2.02853,0.3063869999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273975580.013,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.006,0,215,0,0,162893,0,270,480,56,149,1,150,0,6884,1.8142079999999998,149,4.936961,4.936961,1,1776273975580.166,0,0,0,0,0.25515499999999997,0.301934,0,5.706,0,2.1456589999999998,0.31221599999999955,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273975580.013,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.006,0,215,0,0,162893,0,270,480,56,149,1,150,0,6884,1.8142079999999998,149,4.936961,4.936961,1,1776273975580.166,0,0,0,0,0.25515499999999997,0.301934,0,5.706,0,2.1456589999999998,0.31221599999999955,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273975779.948,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,222,0,0,167763,0,270,480,59,155,1,155,0,7108,1.932035,155,5.1245769999999995,5.1245769999999995,1,1776273975748.965,0,0,0,0,0.255333,0.31273999999999996,0,5.909,0,2.275032,0.31929299999999955,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273975779.948,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,222,0,0,167763,0,270,480,59,155,1,155,0,7108,1.932035,155,5.1245769999999995,5.1245769999999995,1,1776273975748.965,0,0,0,0,0.255333,0.31273999999999996,0,5.909,0,2.275032,0.31929299999999955,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273975980.113,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.006,0,232,0,0,175011,0,270,480,63,161,1,161,0,7428,2.046918,161,5.304137,5.304137,1,1776273975954.6,0,0,0,0,0.255652,0.323664,0,6.113,0,2.401528,0.3264329999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273975980.113,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.006,0,232,0,0,175011,0,270,480,63,161,1,161,0,7428,2.046918,161,5.304137,5.304137,1,1776273975954.6,0,0,0,0,0.255652,0.323664,0,6.113,0,2.401528,0.3264329999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
IT01V657657044,1776273976179.968,inbound-rtp,CIT01_105_profile-id=0,video,video,657657044,T01,0.007,0,240,0,0,180204,0,270,480,64,167,1,168,0,7684,2.141645,167,5.483339,5.483339,1,1776273976168.929,0,0,0,0,0.25567999999999996,0.33457,0,6.316,0,2.5078869999999998,0.3335099999999996,30f17626-ae8e-4f1c-ae0a-bdfb72bf7a20
