id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesPerSecond,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rtxSsrc,scalabilityMode,targetBitrate,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V1028965074,1776276145903.071,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,58112,156,true,0,0,360,640,67,30,67,21977,3,3,SV242,0,0,0,0,13302,[object Object],bandwidth,1,0,0,3965618575,S3T3,96195,1.057,0,2.3358909999999997
OT01V1028965074,1776276146103.069,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,69348,168,true,0,0,360,640,76,28,76,22273,3,3,SV242,0,0,0,0,15141,[object Object],bandwidth,1,0,0,3965618575,S3T3,98305,1.226,0,3.949543
OT01V1028965074,1776276146103.069,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,69348,168,true,0,0,360,640,76,28,76,22273,3,3,SV242,0,0,0,0,15141,[object Object],bandwidth,1,0,0,3965618575,S3T3,98305,1.226,0,3.949543
OT01V1028965074,1776276146303.068,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,78246,181,true,0,0,360,640,87,25,87,22585,3,3,SV242,0,0,0,0,17390,[object Object],bandwidth,1,0,0,3965618575,S3T3,100516,1.462,0,6.775625
OT01V1028965074,1776276146303.068,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,78246,181,true,0,0,360,640,87,25,87,22585,3,3,SV242,0,0,0,0,17390,[object Object],bandwidth,1,0,0,3965618575,S3T3,100516,1.462,0,6.775625
OT01V1028965074,1776276146502.903,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,86381,192,true,0,0,360,640,97,24,97,22849,3,3,SV242,0,0,0,0,19432,[object Object],bandwidth,1,0,0,3965618575,S3T3,73752,1.62,0,9.260601
OT01V1028965074,1776276146502.903,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,86381,192,true,0,0,360,640,97,24,97,22849,3,3,SV242,0,0,0,0,19432,[object Object],bandwidth,1,0,0,3965618575,S3T3,73752,1.62,0,9.260601
OT01V1028965074,1776276146703.082,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,95717,208,true,0,0,360,640,106,21,106,23233,3,3,SV242,0,0,0,0,21262,[object Object],bandwidth,1,0,0,3965618575,S3T3,83693,1.703,0,12.351777
OT01V1028965074,1776276146703.082,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,95717,208,true,0,0,360,640,106,21,106,23233,3,3,SV242,0,0,0,0,21262,[object Object],bandwidth,1,0,0,3965618575,S3T3,83693,1.703,0,12.351777
OT01V1028965074,1776276146903.249,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,104960,223,true,0,0,360,640,116,19,116,23593,5,5,SV242,0,0,0,1,23307,[object Object],bandwidth,1,0,0,3965618575,S3T3,87760,1.914,0,14.290878999999999
OT01V1028965074,1776276146903.249,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,104960,223,true,0,0,360,640,116,19,116,23593,5,5,SV242,0,0,0,1,23307,[object Object],bandwidth,1,0,0,3965618575,S3T3,87760,1.914,0,14.290878999999999
OT01V1028965074,1776276147103.135,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,114875,235,true,0,0,360,640,124,17,124,23885,5,5,SV242,0,0,0,1,24954,[object Object],bandwidth,1,0,0,3965618575,S3T3,85243,2.041,0,16.002007
OT01V1028965074,1776276147103.135,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,114875,235,true,0,0,360,640,124,17,124,23885,5,5,SV242,0,0,0,1,24954,[object Object],bandwidth,1,0,0,3965618575,S3T3,85243,2.041,0,16.002007
OT01V1028965074,1776276147303.087,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,124711,249,true,0,0,360,640,130,15,130,24225,6,5,SV242,0,0,0,1,26194,[object Object],bandwidth,1,0,0,3965618575,S3T3,89367,2.142,0,18.451327
OT01V1028965074,1776276147303.087,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,124711,249,true,0,0,360,640,130,15,130,24225,6,5,SV242,0,0,0,1,26194,[object Object],bandwidth,1,0,0,3965618575,S3T3,89367,2.142,0,18.451327
OT01V1028965074,1776276147503.027,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,134387,265,true,0,0,360,640,139,13,139,24609,6,5,SV242,0,0,0,1,28052,[object Object],bandwidth,1,0,0,3965618575,S3T3,95336,2.315,0,19.773398
OT01V1028965074,1776276147503.027,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,134387,265,true,0,0,360,640,139,13,139,24609,6,5,SV242,0,0,0,1,28052,[object Object],bandwidth,1,0,0,3965618575,S3T3,95336,2.315,0,19.773398
OT01V1028965074,1776276147702.916,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,143407,278,true,0,0,360,640,147,12,147,24921,7,5,SV242,0,0,0,1,29698,[object Object],bandwidth,1,0,0,3965618575,S3T3,98770,2.431,0,20.037364999999998
OT01V1028965074,1776276147702.916,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,143407,278,true,0,0,360,640,147,12,147,24921,7,5,SV242,0,0,0,1,29698,[object Object],bandwidth,1,0,0,3965618575,S3T3,98770,2.431,0,20.037364999999998
OT01V1028965074,1776276147903.08,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,148942,288,true,0,0,360,640,155,10,155,25161,7,5,SV242,0,0,0,1,31340,[object Object],bandwidth,1,0,0,3965618575,S3T3,103676,2.507,0,20.037368999999998
OT01V1028965074,1776276147903.08,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,148942,288,true,0,0,360,640,155,10,155,25161,7,5,SV242,0,0,0,1,31340,[object Object],bandwidth,1,0,0,3965618575,S3T3,103676,2.507,0,20.037368999999998
OT01V1028965074,1776276148103.053,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,155366,298,true,0,0,360,640,162,10,162,25401,7,5,SV242,0,0,0,1,32774,[object Object],bandwidth,1,0,0,3965618575,S3T3,107022,2.65,0,20.128833
OT01V1028965074,1776276148103.053,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,155366,298,true,0,0,360,640,162,10,162,25401,7,5,SV242,0,0,0,1,32774,[object Object],bandwidth,1,0,0,3965618575,S3T3,107022,2.65,0,20.128833
OT01V1028965074,1776276148303.153,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,161104,321,true,0,0,360,640,171,10,171,29013,7,5,SV242,0,0,0,1,34607,[object Object],bandwidth,1,0,0,3965618575,S3T3,107022,2.821,0,20.128864999999998
OT01V1028965074,1776276148303.153,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,161104,321,true,0,0,360,640,171,10,171,29013,7,5,SV242,0,0,0,1,34607,[object Object],bandwidth,1,0,0,3965618575,S3T3,107022,2.821,0,20.128864999999998
OT01V1028965074,1776276148503.13,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,168737,337,true,0,0,360,640,179,11,179,30417,7,5,SV242,0,0,0,1,36235,[object Object],bandwidth,1,0,0,3965618575,S3T3,113271,2.994,0,20.280950999999998
OT01V1028965074,1776276148503.13,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,168737,337,true,0,0,360,640,179,11,179,30417,7,5,SV242,0,0,0,1,36235,[object Object],bandwidth,1,0,0,3965618575,S3T3,113271,2.994,0,20.280950999999998
OT01V1028965074,1776276148703.049,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,175334,362,true,0,0,360,640,188,11,188,34587,7,5,SV242,0,0,0,1,38013,[object Object],bandwidth,1,0,0,3965618575,S3T3,114976,3.168,0,20.280986
OT01V1028965074,1776276148703.049,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,175334,362,true,0,0,360,640,188,11,188,34587,7,5,SV242,0,0,0,1,38013,[object Object],bandwidth,1,0,0,3965618575,S3T3,114976,3.168,0,20.280986
OT01V1028965074,1776276148902.929,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,185514,381,true,0,0,360,640,198,13,198,36063,7,5,SV242,0,0,0,1,40030,[object Object],bandwidth,1,0,0,3965618575,S3T3,121943,3.34,0,20.359859999999998
OT01V1028965074,1776276148902.929,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,185514,381,true,0,0,360,640,198,13,198,36063,7,5,SV242,0,0,0,1,40030,[object Object],bandwidth,1,0,0,3965618575,S3T3,121943,3.34,0,20.359859999999998
OT01V1028965074,1776276149102.997,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,191370,406,true,0,0,360,640,206,13,206,40743,7,5,SV242,0,0,0,1,41599,[object Object],bandwidth,1,0,0,3965618575,S3T3,129965,3.407,0,20.359879
OT01V1028965074,1776276149102.997,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,191370,406,true,0,0,360,640,206,13,206,40743,7,5,SV242,0,0,0,1,41599,[object Object],bandwidth,1,0,0,3965618575,S3T3,129965,3.407,0,20.359879
OT01V1028965074,1776276149302.955,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,199259,421,true,0,0,360,640,215,14,215,42123,7,5,SV242,0,0,0,1,43367,[object Object],bandwidth,1,0,0,3965618575,S3T3,127984,3.535,0,20.402632999999998
OT01V1028965074,1776276149302.955,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,199259,421,true,0,0,360,640,215,14,215,42123,7,5,SV242,0,0,0,1,43367,[object Object],bandwidth,1,0,0,3965618575,S3T3,127984,3.535,0,20.402632999999998
OT01V1028965074,1776276149503.004,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,206590,448,true,0,0,360,640,224,14,224,46851,7,5,SV242,0,0,0,1,45158,[object Object],bandwidth,1,0,0,3965618575,S3T3,127984,3.67,0,20.402663
OT01V1028965074,1776276149503.004,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,206590,448,true,0,0,360,640,224,14,224,46851,7,5,SV242,0,0,0,1,45158,[object Object],bandwidth,1,0,0,3965618575,S3T3,127984,3.67,0,20.402663
OT01V1028965074,1776276149703.136,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,213723,462,true,0,0,360,640,232,15,232,48207,7,5,SV242,0,0,0,1,46722,[object Object],bandwidth,1,0,0,3965618575,S3T3,128548,3.828,0,20.411869
OT01V1028965074,1776276149703.136,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,213723,462,true,0,0,360,640,232,15,232,48207,7,5,SV242,0,0,0,1,46722,[object Object],bandwidth,1,0,0,3965618575,S3T3,128548,3.828,0,20.411869
OT01V1028965074,1776276149903.042,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,222711,483,true,0,0,360,640,242,14,242,50751,7,5,SV242,0,0,0,1,48655,[object Object],bandwidth,1,0,0,3965618575,S3T3,130459,4.023,0,20.411891999999998
OT01V1028965074,1776276149903.042,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,222711,483,true,0,0,360,640,242,14,242,50751,7,5,SV242,0,0,0,1,48655,[object Object],bandwidth,1,0,0,3965618575,S3T3,130459,4.023,0,20.411891999999998
OT01V1028965074,1776276150102.995,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,232322,511,true,0,0,360,640,252,16,252,54993,7,5,SV242,0,0,0,1,50614,[object Object],bandwidth,1,0,0,3965618575,S3T3,130459,4.185,0,20.411929999999998
OT01V1028965074,1776276150102.995,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,232322,511,true,0,0,360,640,252,16,252,54993,7,5,SV242,0,0,0,1,50614,[object Object],bandwidth,1,0,0,3965618575,S3T3,130459,4.185,0,20.411929999999998
OT01V1028965074,1776276150303.076,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,241652,527,true,0,0,360,640,260,15,260,56915,9,7,SV242,0,0,0,2,52153,[object Object],bandwidth,1,0,0,3965618575,S3T3,135394,4.261,0,20.686892999999998
OT01V1028965074,1776276150303.076,outbound-rtp,COT01_98_profile-id=0,video,video,1028965074,T01,241652,527,true,0,0,360,640,260,15,260,56915,9,7,SV242,0,0,0,2,52153,[object Object],bandwidth,1,0,0,3965618575,S3T3,135394,4.261,0,20.686892999999998
