

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V414628560,1776269088713.651,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.006,0,43,0,0,30259,0,270,480,11,29,0,24,29,0,1380,0.125228,29,0.497917,0.497917,1,1776269088705.997,0,0,0,0,0.099552,0.08695599999999999,0,1.494,0,0.22630899999999998,0.11984399999999996,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269088913.492,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.008,0,50,0,0,35555,0,270,480,12,35,0,28,35,0,1604,0.127267,35,0.596915,0.596915,1,1776269088904.218,0,0,0,0,0.09956999999999999,0.090394,0,1.69,0,0.23202199999999998,0.12851799999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269088913.492,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.008,0,50,0,0,35555,0,270,480,12,35,0,28,35,0,1604,0.127267,35,0.596915,0.596915,1,1776269088904.218,0,0,0,0,0.09956999999999999,0.090394,0,1.69,0,0.23202199999999998,0.12851799999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269089113.502,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.006,0,57,0,0,40396,0,270,480,13,41,0,28,41,0,1828,0.12734199999999998,41,0.7019139999999999,0.7019139999999999,1,1776269089105.468,0,0,0,0,0.099577,0.093082,0,1.891,0,0.235086,0.13528099999999996,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269089113.502,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.006,0,57,0,0,40396,0,270,480,13,41,0,28,41,0,1828,0.12734199999999998,41,0.7019139999999999,0.7019139999999999,1,1776269089105.468,0,0,0,0,0.099577,0.093082,0,1.891,0,0.235086,0.13528099999999996,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269089313.49,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.005,0,63,0,0,44034,0,270,480,13,47,0,29,47,0,2020,0.13219899999999998,47,0.8084509999999999,0.8084509999999999,1,1776269089305.407,0,0,0,0,0.099577,0.095901,0,2.096,0,0.24310099999999998,0.14240599999999995,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269089313.49,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.005,0,63,0,0,44034,0,270,480,13,47,0,29,47,0,2020,0.13219899999999998,47,0.8084509999999999,0.8084509999999999,1,1776269089305.407,0,0,0,0,0.099577,0.095901,0,2.096,0,0.24310099999999998,0.14240599999999995,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269089513.473,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.004,0,70,0,0,49123,0,270,480,14,53,0,29,53,0,2244,0.13325099999999998,53,0.916624,0.916624,1,1776269089499.9531,0,0,0,0,0.09959699999999999,0.098619,0,2.286,0,0.24713,0.14848399999999995,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269089513.473,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.004,0,70,0,0,49123,0,270,480,14,53,0,29,53,0,2244,0.13325099999999998,53,0.916624,0.916624,1,1776269089499.9531,0,0,0,0,0.09959699999999999,0.098619,0,2.286,0,0.24713,0.14848399999999995,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269089713.668,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.004,0,79,0,0,55083,0,270,480,16,59,0,30,59,0,2532,0.136826,59,1.023036,1.023036,1,1776269089703.8582,0,0,0,0,0.099647,0.105156,0,2.491,0,0.257799,0.15557099999999996,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269089713.668,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.004,0,79,0,0,55083,0,270,480,16,59,0,30,59,0,2532,0.136826,59,1.023036,1.023036,1,1776269089703.8582,0,0,0,0,0.099647,0.105156,0,2.491,0,0.257799,0.15557099999999996,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269089913.632,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,87,0,0,60759,0,270,480,18,65,0,30,65,0,2788,0.141398,65,1.127173,1.127173,1,1776269089901.264,0,0,0,0,0.099715,0.115766,0,2.691,0,0.273742,0.16229299999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269089913.632,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,87,0,0,60759,0,270,480,18,65,0,30,65,0,2788,0.141398,65,1.127173,1.127173,1,1776269089901.264,0,0,0,0,0.099715,0.115766,0,2.691,0,0.273742,0.16229299999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269090113.619,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,95,0,0,66647,0,270,480,20,71,0,30,71,0,3044,0.14168799999999998,71,1.230534,1.230534,1,1776269090106.805,0,0,0,0,0.09977699999999999,0.12615099999999999,0,2.894,0,0.28515399999999996,0.16917999999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269090113.619,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,95,0,0,66647,0,270,480,20,71,0,30,71,0,3044,0.14168799999999998,71,1.230534,1.230534,1,1776269090106.805,0,0,0,0,0.09977699999999999,0.12615099999999999,0,2.894,0,0.28515399999999996,0.16917999999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269090313.644,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,103,0,0,71926,0,270,480,22,77,0,30,77,0,3300,0.143202,77,1.335243,1.335243,1,1776269090308.647,0,0,0,0,0.09984,0.137191,0,3.095,0,0.29842799999999997,0.17601099999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269090313.644,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,103,0,0,71926,0,270,480,22,77,0,30,77,0,3300,0.143202,77,1.335243,1.335243,1,1776269090308.647,0,0,0,0,0.09984,0.137191,0,3.095,0,0.29842799999999997,0.17601099999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
